Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc 
Gaia DR3 5578380489860819072,105.5522605,-36.2206753,18.600,3.506,1.879,4.4228,29.3059,19.60,nan,nan,2.632,M5.3,nan,nan,1.072,nan,None
Gaia DR3 5587232039506266752,114.6877865,-36.3445535,17.575,2.973,0.940,4.4168,29.3073,17.73,nan,nan,2.661,M4.1,nan,nan,0.985,nan,None
Gaia DR3 5605481321180151296,112.3959334,-29.9770785,18.294,2.687,3.521,4.3735,29.3194,19.18,nan,nan,2.678,M3.5,nan,nan,1.043,nan,None
Gaia DR3 5591913725656362624,113.7390378,-32.9912341,19.212,3.066,1.451,3.1193,29.3525,18.46,nan,nan,2.503,M4.3,nan,nan,1.056,nan,None
Gaia DR3 5592035088552697344,114.5906889,-32.5726931,11.252,0.553,1.914,3.9349,29.3585,18.32,18.36,1.14,2.551,F4.2,nan,nan,0.918,nan,Gaia DR3
Gaia DR3 5590640388109123712,108.0678841,-34.6406569,17.332,2.747,4.402,1.8799,29.3688,19.41,nan,nan,2.465,M3.6,nan,nan,1.129,nan,None
Gaia DR3 5588109896455348608,114.3295836,-35.3539666,18.940,3.101,1.668,3.7090,29.3765,17.97,nan,nan,2.760,M4.4,nan,nan,0.983,nan,None
Gaia DR3 5604741766470712320,109.9829509,-32.4279932,11.267,--,4.692,1.5025,29.3771,19.37,nan,nan,2.845,nan,nan,nan,3.323,nan,None
Gaia DR3 5590916984003982976,110.4347225,-33.8570742,19.547,3.160,1.302,0.2289,29.3823,19.05,nan,nan,2.858,M4.5,nan,nan,1.086,nan,None
Gaia DR3 5592995237075442560,112.3353281,-31.9773118,19.174,--,3.269,2.6613,29.3826,18.92,nan,nan,2.814,nan,nan,nan,1.055,nan,None
Gaia DR3 5606490024326160128,109.3788212,-29.5315873,16.776,2.514,0.941,4.4420,29.3832,19.91,nan,nan,2.640,M3.1,nan,nan,1.038,nan,None
Gaia DR3 5592826595182606080,111.3113943,-32.0459452,17.881,2.912,0.964,2.1063,29.3860,19.14,nan,nan,2.470,M3.9,nan,nan,1.000,nan,None
Gaia DR3 5589522253502750080,109.7343425,-35.9485548,18.079,2.892,4.759,2.0575,29.3916,18.85,nan,nan,2.469,M3.9,nan,nan,1.068,nan,None
Gaia DR3 5592543509595440128,111.9456022,-32.7946978,19.869,1.507,2.225,1.8627,29.3934,18.89,nan,nan,2.464,K5.3,nan,nan,1.065,nan,None
Gaia DR3 5604874463781054336,110.4980886,-31.8770881,19.368,1.565,1.090,2.0637,29.4047,19.34,nan,nan,2.833,K5.4,nan,nan,1.243,nan,None
Gaia DR3 5590636715913979904,108.4650675,-34.5126402,16.684,2.523,1.098,1.5287,29.4278,19.35,nan,nan,2.845,M3.1,nan,nan,1.064,nan,None
Gaia DR3 5589248513766180352,110.3995732,-36.4451799,9.279,0.042,3.406,2.5298,29.4314,18.63,15.73,6.12,2.481,A1.4,nan,nan,1.089,nan,Gaia DR3
Gaia DR3 5592355317010744576,111.2774673,-33.9375988,19.895,2.965,1.896,0.9187,29.4462,18.86,nan,nan,2.854,M4.0,nan,nan,0.980,nan,None
Gaia DR3 5606436143950349440,109.8541926,-29.4954054,19.186,2.515,1.802,4.4351,29.4604,19.82,nan,nan,2.664,M3.1,nan,nan,1.070,nan,None
Gaia DR3 5588017777996047360,114.9901573,-35.9888828,12.215,0.763,1.021,4.4573,29.4790,17.72,15.65,1.28,2.642,F9.5,nan,nan,0.900,nan,Gaia DR3
Gaia DR3 5605595193649683328,110.2825482,-30.3515875,19.164,2.984,3.385,3.5720,29.5253,19.61,nan,nan,2.524,M4.1,nan,nan,1.018,nan,None
Gaia DR3 5586601950617277184,112.5499074,-36.6927200,19.159,3.025,1.540,3.3829,29.5325,18.14,nan,nan,2.513,M4.2,nan,nan,1.022,nan,None
Gaia DR3 5604867179521200000,109.5605224,-31.6014300,16.748,2.545,1.171,2.3769,29.5367,19.58,nan,nan,2.825,M3.1,nan,nan,1.070,nan,None
Gaia DR3 5603694511705810432,105.0337294,-33.5261090,19.825,2.678,2.122,4.2902,29.5523,20.17,nan,nan,2.587,M3.5,nan,nan,1.053,nan,None
Gaia DR3 5588842033759996160,115.5092711,-33.8206935,18.311,3.127,2.335,4.4335,29.6150,17.92,nan,nan,2.616,M4.4,nan,nan,1.014,nan,None
Gaia DR3 5588521835363276672,115.5217748,-34.6249943,19.697,2.831,2.289,4.4770,29.6209,17.80,nan,nan,2.651,M3.8,nan,nan,0.961,nan,None
Gaia DR3 5588720645107224832,114.5772386,-34.2724808,12.132,0.950,0.230,3.6657,29.6437,18.08,20.71,6.93,2.528,G9.0,nan,nan,13.913,nan,Gaia DR3
Gaia DR3 5590841564373998720,110.9560247,-34.3138980,12.032,0.735,0.867,0.7592,29.6444,18.87,22.19,4.40,2.448,F9.3,nan,nan,0.885,nan,Gaia DR3
Gaia DR3 5598271415426330112,114.7991356,-31.7004346,17.780,2.268,4.286,4.4793,29.6491,18.39,nan,nan,2.654,M2.1,nan,nan,1.305,nan,None
Gaia DR3 5588435111383569536,115.2501384,-35.1966224,20.058,2.972,3.317,4.3725,29.6570,17.78,nan,nan,2.691,M4.0,nan,nan,1.085,nan,None
Gaia DR3 5605932778086562048,107.9609018,-30.8247881,17.112,2.624,3.627,3.6159,29.6726,20.03,nan,nan,2.525,M3.3,nan,nan,1.165,nan,None
Gaia DR3 5588979545733003264,109.8957311,-38.3096894,17.410,3.091,3.835,4.3930,29.6809,18.40,nan,nan,2.602,M4.3,nan,nan,0.957,nan,None
Gaia DR3 5589685599698249600,111.8273955,-36.0227618,18.442,2.643,3.550,2.5010,29.6981,18.41,nan,nan,2.823,M3.4,nan,nan,0.937,nan,None
Gaia DR3 5588509190973821824,114.9626657,-34.6640200,12.817,0.917,0.952,4.0276,29.7267,17.93,12.78,2.57,2.739,G8.4,nan,nan,0.996,nan,Gaia DR3
Gaia DR3 5588525889811946240,115.5365764,-34.5037543,17.556,2.915,1.298,4.4749,29.7268,17.82,nan,nan,2.625,M3.9,nan,nan,0.927,nan,None
Gaia DR3 5593319696092395648,111.6878137,-30.9563327,17.687,2.925,1.113,3.2305,29.7298,19.21,nan,nan,2.793,M3.9,nan,nan,0.989,nan,None
Gaia DR3 5588412610052672384,115.3429502,-35.3615848,13.608,1.073,3.189,4.4916,29.7503,17.73,11.84,4.76,2.656,K1.9,nan,nan,11.483,nan,Gaia DR3
Gaia DR3 5604093638725816320,105.6936123,-31.8761820,17.381,2.817,4.020,4.2790,29.7509,20.31,nan,nan,2.581,M3.7,nan,nan,1.031,nan,None
Gaia DR3 5587229982219280768,114.6861781,-36.4951873,13.305,1.010,1.935,4.4972,29.7798,17.70,20.27,3.09,2.634,K1.0,nan,nan,1.045,nan,Gaia DR3
Gaia DR3 5587942912429914752,113.4703975,-36.2471407,18.235,2.311,2.164,3.5628,29.8045,18.02,nan,nan,2.775,M2.3,nan,nan,1.187,nan,None
Gaia DR3 5593008912257308928,112.2325453,-31.8411283,13.577,1.162,0.484,2.7073,29.8117,18.97,13.46,1.89,2.817,K2.5,nan,nan,1.093,nan,Gaia DR3
Gaia DR3 5604611332605454336,106.5875513,-31.0841363,18.971,2.734,3.933,4.1450,29.8343,20.26,nan,nan,2.728,M3.6,nan,nan,1.012,nan,None
Gaia DR3 5603486914468768512,108.0499083,-32.4072231,11.339,0.552,3.635,2.3336,29.8353,19.77,20.84,1.60,2.472,F4.2,nan,nan,1.864,nan,Gaia DR3
Gaia DR3 5606061077349820800,109.4488453,-29.8175612,12.378,0.802,0.685,4.1502,29.8634,19.86,18.92,2.82,2.728,G1.0,nan,nan,0.926,nan,Gaia DR3
Gaia DR3 5606046818058654080,109.4316079,-29.9451312,12.984,0.968,1.389,4.0263,29.8729,19.85,30.44,3.48,2.741,G9.6,nan,nan,1.740,nan,Gaia DR3
Gaia DR3 5606105401413960576,109.0640006,-29.8255174,17.405,2.872,1.047,4.2031,29.8882,19.94,nan,nan,2.723,M3.8,nan,nan,1.043,nan,None
Gaia DR3 5593008912250441472,112.2324389,-31.8414789,17.312,--,2.043,2.7070,29.8905,18.97,nan,nan,2.817,nan,nan,nan,1.220,nan,None
Gaia DR3 5566051395397996928,107.3788736,-37.5136152,12.786,1.029,1.448,4.2461,29.9354,19.03,17.13,2.26,2.573,K1.4,nan,nan,1.053,nan,Gaia DR3
Gaia DR3 5588725451167265792,114.8821715,-34.4584362,19.854,3.226,0.955,3.9338,29.9405,17.98,nan,nan,2.543,M4.7,nan,nan,0.971,nan,None
Gaia DR3 5605939233413305600,108.0372866,-30.7576912,18.257,2.874,3.934,3.6416,29.9488,20.02,nan,nan,2.772,M3.8,nan,nan,0.969,nan,None
Gaia DR3 5587241355292387712,114.9676648,-36.1733811,17.488,2.898,3.953,4.5259,29.9546,17.69,nan,nan,2.653,M3.9,nan,nan,1.575,nan,None
Gaia DR3 5593274031999403904,111.4858111,-31.3978152,17.118,2.718,0.382,2.7566,30.0018,19.20,nan,nan,2.817,M3.5,nan,nan,1.040,nan,None
Gaia DR3 5587232730998220416,114.8206146,-36.3539796,14.296,1.380,1.183,4.5129,30.0298,17.70,25.05,4.24,2.668,K4.5,nan,nan,1.035,nan,Gaia DR3
Gaia DR3 5586448710485602816,111.8913684,-37.5301102,9.692,0.169,3.088,3.8686,30.0578,18.14,12.35,5.48,2.537,A4.0,nan,nan,1.009,nan,Gaia DR3
Gaia DR3 5592927823263664256,112.4435504,-32.4759948,18.447,--,3.681,2.3894,30.0584,18.83,nan,nan,2.472,nan,nan,nan,1.010,nan,None
Gaia DR3 5604696785276292096,106.9752589,-30.5757568,19.171,3.302,3.821,4.3008,30.0640,20.26,nan,nan,2.714,M4.9,nan,nan,1.085,nan,None
Gaia DR3 5604883049419134848,110.6008367,-31.7087761,18.223,3.007,0.861,2.2429,30.0700,19.34,nan,nan,2.468,M4.1,nan,nan,0.995,nan,None
Gaia DR3 5587241660230482944,115.0156688,-36.1471871,18.945,3.418,2.946,4.5477,30.0783,17.69,nan,nan,2.641,M5.1,nan,nan,1.028,nan,None
Gaia DR3 5589312663391428736,109.3967658,-37.0368635,17.909,--,2.443,3.1776,30.0792,18.73,nan,nan,2.800,nan,nan,nan,1.031,nan,None
Gaia DR3 5589023491839512576,109.8865663,-37.9279242,16.233,2.099,1.602,4.0122,30.0864,18.47,nan,nan,2.746,M1.0,nan,nan,0.979,nan,None
Gaia DR3 5592344184455031680,113.8775530,-31.4526933,16.318,2.245,1.629,3.9786,30.0888,18.64,nan,nan,2.545,M2.0,nan,nan,0.965,nan,None
Gaia DR3 5604912912333201024,110.7822639,-31.4870167,17.288,2.956,0.990,2.4891,30.0918,19.34,nan,nan,2.475,M4.0,nan,nan,1.092,nan,None
Gaia DR3 5586403213894326272,113.1328669,-37.0424229,20.222,2.557,4.291,3.9434,30.0951,17.96,nan,nan,2.752,M3.2,nan,nan,1.054,nan,None
Gaia DR3 5606036991173612544,109.2784586,-30.1497811,18.370,3.038,1.002,3.8475,30.1069,19.85,nan,nan,2.760,M4.2,nan,nan,1.091,nan,None
Gaia DR3 5588479916481271296,114.9257616,-35.1241651,18.056,3.496,1.090,4.0976,30.1381,17.87,nan,nan,2.739,M5.3,nan,nan,1.093,nan,None
Gaia DR3 5565256414128337408,107.9972387,-38.1061404,20.102,2.822,1.128,4.5377,30.1458,18.80,nan,nan,2.665,M3.7,nan,nan,1.024,nan,None
Gaia DR3 5592355321309632512,111.2764476,-33.9354194,16.349,2.428,1.310,0.9178,30.1570,18.86,nan,nan,2.860,M2.8,nan,nan,1.065,nan,None
Gaia DR3 5591699698843148160,112.5272105,-33.5237149,18.352,3.055,0.271,2.0003,30.1687,18.65,nan,nan,2.462,M4.2,nan,nan,1.064,nan,None
Gaia DR3 5592829657493578240,111.4760984,-31.9800227,17.792,3.003,1.420,2.2300,30.1835,19.11,nan,nan,2.836,M4.1,nan,nan,1.240,nan,None
Gaia DR3 5602750512255144320,107.4135570,-33.7048502,19.245,3.365,2.525,2.3008,30.1835,19.69,nan,nan,2.834,M5.0,nan,nan,1.049,nan,None
Gaia DR3 5603193855960443264,109.2306870,-33.1625808,16.859,2.314,3.471,1.0912,30.2002,19.41,nan,nan,2.858,M2.4,nan,nan,1.101,nan,None
Gaia DR3 5589459340821441024,110.0650624,-36.0973618,18.547,3.099,3.493,2.1767,30.2196,18.76,nan,nan,2.466,M4.4,nan,nan,1.082,nan,None
Gaia DR3 5592825289512456704,111.2209133,-32.0614430,18.138,2.927,1.011,2.0589,30.2460,19.16,nan,nan,2.463,M4.0,nan,nan,0.962,nan,None
Gaia DR3 5606164431441219840,107.5991853,-30.2540955,18.691,3.175,3.797,4.2659,30.2613,20.18,nan,nan,2.570,M4.5,nan,nan,0.951,nan,None
Gaia DR3 5606045443662659584,109.4849175,-30.0164201,19.544,--,2.961,3.9489,30.2755,19.82,nan,nan,2.754,nan,nan,nan,1.022,nan,None
Gaia DR3 5591475643291577472,113.3318523,-33.9235112,16.215,2.171,0.249,2.6232,30.2914,18.41,nan,nan,2.477,M1.5,nan,nan,0.940,nan,None
Gaia DR3 5586374699604495232,113.1225527,-37.2180682,18.745,--,1.801,4.0772,30.3020,17.93,nan,nan,2.743,nan,nan,nan,1.105,nan,None
Gaia DR3 5588162638655266176,113.4383188,-35.9206160,13.477,1.122,1.092,3.3422,30.3166,18.08,13.91,2.65,2.504,K2.1,nan,nan,2.985,nan,Gaia DR3
Gaia DR3 5604749634854143616,109.5969876,-32.4925401,16.574,2.238,2.887,1.5081,30.3174,19.44,nan,nan,2.452,M1.9,nan,nan,1.062,nan,None
Gaia DR3 5605001590515277568,110.1535206,-30.9642890,17.138,2.685,1.141,2.9581,30.3357,19.55,nan,nan,2.488,M3.5,nan,nan,1.011,nan,None
Gaia DR3 5587962737999706112,114.1295837,-36.0000481,17.251,2.652,0.904,3.8524,30.3492,17.91,nan,nan,2.532,M3.4,nan,nan,1.066,nan,None
Gaia DR3 5589760542588162176,111.2731209,-35.7425465,19.378,--,4.618,2.0328,30.3630,18.57,nan,nan,2.842,nan,nan,nan,0.968,nan,None
Gaia DR3 5591384516960941568,113.0773678,-34.5090154,19.024,3.330,1.505,2.4743,30.3820,18.38,nan,nan,2.830,M4.9,nan,nan,1.026,nan,None
Gaia DR3 5593037529618310016,112.3317156,-31.7280538,17.198,2.591,1.093,2.8482,30.3821,18.96,nan,nan,2.484,M3.3,nan,nan,1.045,nan,None
Gaia DR3 5591897198620995328,114.1208318,-33.2350187,19.364,2.814,4.323,3.3620,30.3946,18.33,nan,nan,2.504,M3.7,nan,nan,1.330,nan,None
Gaia DR3 5606022658858328320,108.8178445,-30.1992547,18.564,3.205,0.710,3.8954,30.4061,19.94,nan,nan,2.760,M4.6,nan,nan,0.981,nan,None
Gaia DR3 5590242163038934912,109.0029696,-36.1052489,17.929,2.984,1.715,2.3831,30.4126,18.97,nan,nan,2.469,M4.1,nan,nan,1.050,nan,None
Gaia DR3 5588146730099254272,112.9162687,-35.9903552,18.893,3.200,2.310,3.0561,30.4147,18.18,nan,nan,2.809,M4.6,nan,nan,1.000,nan,None
Gaia DR3 5587089446587342976,113.9737109,-37.2274346,17.263,2.033,2.432,4.5261,30.4227,17.74,nan,nan,2.683,M0.8,nan,nan,5.097,nan,None
Gaia DR3 5592404485794233216,111.2468188,-33.4861668,17.999,2.618,0.588,0.9960,30.4307,18.94,nan,nan,2.445,M3.3,nan,nan,1.029,nan,None
Gaia DR3 5592351610457968640,111.1258172,-33.9991765,15.045,1.484,2.479,0.7961,30.4379,18.89,1.17,9.51,2.444,K5.2,nan,nan,1.028,nan,Gaia DR3
Gaia DR3 5592868312207519488,110.6512705,-31.9636932,16.779,2.762,1.223,1.9998,30.4670,19.30,nan,nan,2.460,M3.6,nan,nan,1.289,nan,None
Gaia DR3 5587088037838460160,114.2079582,-37.1307756,17.807,3.031,0.411,4.5916,30.4682,17.71,nan,nan,2.627,M4.2,nan,nan,0.957,nan,None
Gaia DR3 5605332479092024704,111.3635229,-30.9034362,18.696,3.258,0.992,3.1824,30.4734,19.29,nan,nan,2.495,M4.8,nan,nan,1.028,nan,None
Gaia DR3 5587238396055225344,115.0754207,-36.1843065,18.422,3.122,0.758,4.6077,30.4756,17.67,nan,nan,2.641,M4.4,nan,nan,0.947,nan,None
Gaia DR3 5604430845199696896,107.4302671,-31.1742645,17.279,2.941,3.291,3.5895,30.4770,20.08,nan,nan,2.515,M4.0,nan,nan,1.005,nan,None
Gaia DR3 5605490327738912128,112.0304780,-29.9651598,17.063,2.703,0.855,4.2601,30.4858,19.27,nan,nan,2.728,M3.5,nan,nan,1.036,nan,None
Gaia DR3 5591126337890311936,110.2882941,-33.4693734,19.039,3.368,2.559,0.4635,30.4858,19.15,nan,nan,2.441,M5.0,nan,nan,1.019,nan,None
Gaia DR3 5592385179923128320,111.4110391,-33.6902344,12.678,0.881,0.948,1.0567,30.4933,18.87,16.04,3.63,2.861,G7.1,nan,nan,0.928,nan,Gaia DR3
Gaia DR3 5590929319150540544,110.4428434,-33.7906571,19.607,3.135,0.856,0.2618,30.5141,19.06,nan,nan,2.867,M4.4,nan,nan,1.034,nan,None
Gaia DR3 5586030823053817856,110.8648207,-38.3813448,17.761,2.736,4.384,4.4941,30.5177,18.19,nan,nan,2.694,M3.6,nan,nan,1.155,nan,None
Gaia DR3 5604165381859422592,105.5301564,-31.4614245,17.474,2.785,3.503,4.6151,30.5274,20.41,nan,nan,2.640,M3.7,nan,nan,1.001,nan,None
Gaia DR3 5589316438670563840,109.2548906,-36.9301720,18.563,3.147,4.753,3.0989,30.5419,18.78,nan,nan,2.491,M4.5,nan,nan,1.095,nan,None
Gaia DR3 5588470261393161728,115.5779632,-34.8220952,17.820,2.929,0.964,4.5525,30.6207,17.76,nan,nan,2.685,M4.0,nan,nan,1.016,nan,None
Gaia DR3 5587137240982598656,114.6360350,-36.4635338,10.863,0.440,0.165,4.4461,30.6250,17.72,16.22,1.35,2.586,F1.1,nan,nan,0.974,nan,Gaia DR3
Gaia DR3 5606243561920201984,107.5879421,-29.9066408,18.024,3.001,1.333,4.5746,30.6621,20.24,nan,nan,2.610,M4.1,nan,nan,1.018,nan,None
Gaia DR3 5603165238591084544,108.0678863,-33.2568545,19.729,3.256,4.622,1.8736,30.6791,19.63,nan,nan,2.456,M4.8,nan,nan,1.050,nan,None
Gaia DR3 5587976962931236352,113.9417451,-35.8410973,14.518,1.816,0.484,3.6400,30.7239,17.98,-5.90,3.89,2.782,K7.8,nan,nan,1.037,nan,Gaia DR3
Gaia DR3 5605684902632839040,110.3790532,-29.8170473,17.452,2.841,1.589,4.1091,30.7504,19.66,nan,nan,2.748,M3.8,nan,nan,0.983,nan,None
Gaia DR3 5592744853366655104,110.6243477,-32.4064555,18.819,2.862,1.258,1.5628,30.7766,19.24,nan,nan,2.856,M3.8,nan,nan,1.000,nan,None
Gaia DR3 5586029933993543936,110.9810121,-38.4007936,11.410,0.808,4.749,4.5260,30.8004,18.17,35.63,1.71,2.595,G1.2,nan,nan,0.792,nan,Gaia DR3
Gaia DR3 5588764655630651904,114.2415741,-34.2615609,17.803,2.941,1.487,3.3883,30.8144,18.15,nan,nan,2.797,M4.0,nan,nan,1.046,nan,None
Gaia DR3 5587216100884856448,114.9051408,-36.5032954,8.110,-0.092,1.213,4.6493,30.8158,17.65,nan,nan,2.631,B8.1,nan,nan,1.072,nan,None
Gaia DR3 5586421703732270464,112.9689439,-36.7694652,17.763,2.503,2.876,3.6488,30.8351,18.04,nan,nan,2.783,M3.0,nan,nan,1.023,nan,None
Gaia DR3 5566034112449678848,107.6259853,-37.6596727,17.421,2.638,1.772,4.2689,30.8549,18.95,nan,nan,2.734,M3.4,nan,nan,0.973,nan,None
Gaia DR3 5603449634145335936,107.4682356,-32.4070672,19.761,--,2.805,2.7224,30.8606,19.89,nan,nan,2.476,nan,nan,nan,1.051,nan,None
Gaia DR3 5592787940479426688,110.9552956,-32.4776062,19.620,2.852,1.278,1.5870,30.8661,19.15,nan,nan,2.856,M3.8,nan,nan,1.047,nan,None
Gaia DR3 5588487372545651456,115.2561104,-34.9004805,19.792,2.858,4.036,4.3077,30.8710,17.82,nan,nan,2.730,M3.8,nan,nan,1.072,nan,None
Gaia DR3 5588189958941867904,113.4544518,-35.4983348,17.812,2.371,0.794,3.1257,30.8776,18.14,nan,nan,2.811,M2.6,nan,nan,1.560,nan,None
Gaia DR3 5606302695029138048,108.1491453,-29.5834744,18.632,3.269,1.131,4.6665,30.8829,20.17,nan,nan,2.654,M4.8,nan,nan,1.026,nan,None
Gaia DR3 5588042349512622976,114.8343044,-35.5729663,16.850,2.686,1.367,4.1719,30.8926,17.82,nan,nan,2.744,M3.5,nan,nan,1.044,nan,None
Gaia DR3 5603832466061214080,105.9792692,-32.6437690,18.611,2.804,3.844,3.7293,30.9117,20.14,nan,nan,2.779,M3.7,nan,nan,1.037,nan,None
Gaia DR3 5588049869995802112,114.8512115,-35.4572114,18.560,3.488,0.369,4.1430,30.9229,17.83,nan,nan,2.748,M5.3,nan,nan,1.017,nan,None
Gaia DR3 5605917178766590336,108.4635779,-30.5260072,15.714,1.803,3.258,3.6903,30.9386,19.97,nan,nan,2.516,K7.7,nan,nan,0.906,nan,None
Gaia DR3 5590361013368912640,108.9261748,-35.2618234,18.523,3.415,0.627,1.6862,30.9724,19.13,nan,nan,2.855,M5.1,nan,nan,1.051,nan,None
Gaia DR3 5592461389824052864,111.3613491,-33.2274778,17.101,2.411,4.404,1.2113,30.9904,18.95,nan,nan,2.863,M2.7,nan,nan,0.998,nan,None
Gaia DR3 5586013750556817408,111.1042761,-38.5060730,17.898,2.966,4.386,4.6452,30.9988,18.12,nan,nan,2.675,M4.0,nan,nan,1.025,nan,None
Gaia DR3 5605337736139655808,111.6587131,-30.7471107,15.151,1.813,1.018,3.4150,31.0269,19.25,nan,nan,2.798,K7.8,nan,nan,1.046,nan,None
Gaia DR3 5604450494672768768,106.2709247,-31.9789493,19.791,2.920,4.166,3.8053,31.0371,20.19,nan,nan,2.521,M3.9,nan,nan,1.061,nan,None
Gaia DR3 5590051088534291200,110.7180840,-34.8019094,17.281,2.459,3.059,0.9890,31.0437,18.84,nan,nan,2.866,M2.9,nan,nan,1.877,nan,None
Gaia DR3 5603149119580498688,108.3503155,-33.3543390,19.237,2.693,2.042,1.6182,31.0498,19.56,nan,nan,2.449,M3.5,nan,nan,1.014,nan,None
Gaia DR3 5586272406366286336,112.5783163,-37.5394912,10.951,0.619,1.267,4.1111,31.0621,17.99,19.15,2.83,2.753,F5.5,nan,nan,0.948,nan,Gaia DR3
Gaia DR3 5602592702271332352,107.0508517,-34.7258135,19.410,2.287,3.931,2.6986,31.0686,19.59,nan,nan,2.473,M2.2,nan,nan,2.354,nan,None
Gaia DR3 5590779996024713600,109.5433518,-34.6796084,12.085,0.690,3.714,0.9175,31.0782,19.11,23.07,2.55,2.441,F7.8,nan,nan,0.871,nan,Gaia DR3
Gaia DR3 5588447206007586816,115.6414130,-35.0479668,18.706,3.044,1.439,4.6473,31.0798,17.71,nan,nan,2.613,M4.2,nan,nan,0.990,nan,None
Gaia DR3 5598067730898502784,114.7322964,-32.0664511,16.594,1.972,2.098,4.2519,31.0969,18.36,nan,nan,2.554,M0.6,nan,nan,2.250,nan,None
Gaia DR3 5588074265408999936,114.1593306,-35.6256825,17.435,2.753,1.070,3.6924,31.1155,17.96,nan,nan,2.784,M3.6,nan,nan,0.976,nan,None
Gaia DR3 5605934770951365376,107.9279070,-30.6962731,12.916,0.915,1.853,3.7413,31.1434,20.05,17.25,1.59,2.781,G8.3,nan,nan,1.077,nan,Gaia DR3
Gaia DR3 5586253409732046464,112.2413081,-37.6764180,17.732,2.951,1.144,4.1124,31.1628,18.04,nan,nan,2.754,M4.0,nan,nan,1.097,nan,None
Gaia DR3 5606048879642699264,109.4868918,-29.8776958,15.213,2.084,2.411,4.0860,31.1683,19.84,-32.98,5.54,2.756,M1.0,nan,nan,2.368,nan,Gaia DR3
Gaia DR3 5604192384316526464,106.6400882,-32.3496896,19.783,3.132,4.272,3.3482,31.1957,20.06,nan,nan,2.496,M4.4,nan,nan,1.056,nan,None
Gaia DR3 5578678496168734848,104.7274645,-35.3384726,19.339,2.028,2.949,4.6964,31.2191,19.91,nan,nan,2.623,M0.8,nan,nan,1.048,nan,None
Gaia DR3 5591955988132310784,114.5803940,-32.9190967,19.670,3.086,3.742,3.8147,31.2233,18.27,nan,nan,2.777,M4.3,nan,nan,1.061,nan,None
Gaia DR3 5586329241672341376,113.5780165,-37.4399486,18.978,--,1.010,4.4753,31.2286,17.79,nan,nan,2.716,nan,nan,nan,0.962,nan,None
Gaia DR3 5588422058980860160,115.1195794,-35.4736334,15.761,2.038,0.728,4.3540,31.2861,17.77,nan,nan,2.561,M0.8,nan,nan,1.039,nan,None
Gaia DR3 5592890916614102912,111.0018524,-31.8242142,17.530,2.784,1.066,2.2112,31.2871,19.24,nan,nan,2.459,M3.7,nan,nan,1.056,nan,None
Gaia DR3 5589011603368924416,110.2058676,-38.0320047,16.181,2.563,3.797,4.1098,31.3057,18.39,nan,nan,2.539,M3.2,nan,nan,1.028,nan,None
Gaia DR3 5604756536859371904,109.6928396,-32.3875230,18.402,3.050,0.666,1.5860,31.3062,19.44,nan,nan,2.860,M4.2,nan,nan,0.942,nan,None
Gaia DR3 5590613694890030464,107.9439272,-34.8478221,17.063,2.883,2.652,2.0573,31.3241,19.40,nan,nan,2.455,M3.9,nan,nan,1.241,nan,None
Gaia DR3 5578304348681362816,105.4521429,-36.5751486,19.917,2.679,3.742,4.6771,31.3466,19.55,nan,nan,2.610,M3.5,nan,nan,1.049,nan,None
Gaia DR3 5587134805739162496,114.5197678,-36.6055583,16.594,2.394,1.037,4.4501,31.3470,17.72,nan,nan,2.571,M2.7,nan,nan,0.982,nan,None
Gaia DR3 5602956125228869888,107.1862226,-33.4859710,13.014,0.894,4.520,2.5205,31.3470,19.77,15.64,3.75,2.466,G7.8,nan,nan,0.978,nan,Gaia DR3
Gaia DR3 5585996738185478912,110.2915743,-38.3297882,17.581,2.895,4.298,4.4085,31.3497,18.32,nan,nan,2.566,M3.9,nan,nan,1.000,nan,None
Gaia DR3 5589536036057546112,110.9747026,-36.9654607,8.407,0.260,2.441,3.1128,31.3551,18.42,nan,nan,2.816,A7.1,nan,nan,0.957,nan,None
Gaia DR3 5599224069226478848,113.8023611,-30.4400145,18.244,2.527,3.643,4.6442,31.3617,18.79,nan,nan,2.691,M3.1,nan,nan,1.081,nan,None
Gaia DR3 5605077358039111936,109.2836716,-31.2489554,12.557,0.812,0.157,2.7758,31.3721,19.69,17.17,1.27,2.830,G1.3,nan,nan,0.897,nan,Gaia DR3
Gaia DR3 5604827081705752576,109.3867526,-32.0278830,16.139,1.927,2.612,2.0052,31.3827,19.56,nan,nan,2.852,M0.4,nan,nan,0.985,nan,None
Gaia DR3 5578464125761598976,106.6920479,-35.5651395,14.252,--,2.310,3.2964,31.3966,19.51,25.17,10.95,2.492,nan,nan,nan,2.342,nan,Gaia DR3
Gaia DR3 5604529388923993856,105.9926356,-31.4314375,18.639,1.507,1.422,4.3087,31.4064,20.33,nan,nan,2.740,K5.3,nan,nan,2.493,nan,None
Gaia DR3 5591607236787691008,111.7885091,-34.1417238,16.173,2.066,0.451,1.3588,31.4406,18.72,nan,nan,2.865,M0.9,nan,nan,1.058,nan,None
Gaia DR3 5588932129298705408,115.3394574,-33.4628199,14.485,1.402,1.687,4.3248,31.4777,18.02,36.95,6.77,2.555,K4.7,nan,nan,0.985,nan,Gaia DR3
