Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5592859374373281792,110.6528893,-32.0073658,19.603,2.673,0.694,1.9573,13.0379,19.29,nan,nan,2.648,M3.4,nan,nan,1.015,nan,None
Gaia DR3 5590041399089194240,110.5324876,-35.0638686,20.266,2.782,2.550,1.1799,13.0536,18.84,nan,nan,2.566,M3.7,nan,nan,1.041,nan,None
Gaia DR3 5592849964107356672,110.9800722,-32.0664003,12.825,0.873,0.349,1.9762,13.1249,19.21,15.66,2.69,2.631,G6.3,nan,nan,1.098,nan,Gaia DR3
Gaia DR3 5592752962264873984,110.2752696,-32.4432294,19.836,2.318,3.922,1.4817,13.1422,19.31,nan,nan,2.700,M2.4,nan,nan,1.071,nan,None
Gaia DR3 5592868307903011712,110.6609831,-31.9718891,12.521,0.812,0.480,1.9934,13.2423,19.29,21.16,2.37,2.646,G1.3,nan,nan,0.975,nan,Gaia DR3
Gaia DR3 5592800073765519616,111.1084933,-32.2461666,17.329,2.715,0.611,1.8513,13.2960,19.16,nan,nan,2.602,M3.5,nan,nan,1.062,nan,None
Gaia DR3 5590081806140309632,110.8246092,-34.5425528,16.713,2.504,0.593,0.8229,13.3488,18.86,nan,nan,2.724,M3.0,nan,nan,1.066,nan,None
Gaia DR3 5591699905000592768,112.5380834,-33.4910273,13.616,1.111,1.278,2.0163,13.3735,18.66,43.66,5.11,2.632,K2.1,nan,nan,1.020,nan,Gaia DR3
Gaia DR3 5592453693242782720,111.1338676,-33.3597512,16.538,2.484,0.728,0.9797,13.4086,18.98,nan,nan,2.721,M3.0,nan,nan,0.998,nan,None
Gaia DR3 5604742522388106496,109.9720956,-32.4117543,15.459,2.099,2.018,1.5197,13.4146,19.38,24.27,9.01,2.701,M1.0,nan,nan,5.314,nan,Gaia DR3
Gaia DR3 5590532051850776832,108.3934211,-35.2263554,11.774,0.703,2.831,1.9599,13.4343,19.24,21.26,3.99,2.663,F8.4,nan,nan,0.854,nan,Gaia DR3
Gaia DR3 5591002952066841216,109.4142163,-34.0193632,18.841,2.995,3.045,0.6346,13.4456,19.24,nan,nan,2.729,M4.1,nan,nan,1.005,nan,None
Gaia DR3 5592860890504137088,110.4130858,-32.0703803,14.185,1.336,0.684,1.8631,13.4663,19.33,-55.55,5.16,2.601,K4.1,nan,nan,0.971,nan,Gaia DR3
Gaia DR3 5592862436692294016,110.5888378,-32.0045329,16.517,2.359,0.341,1.9497,13.4884,19.30,nan,nan,2.666,M2.6,nan,nan,1.042,nan,None
Gaia DR3 5592865803946587392,110.7151699,-31.9620528,17.570,2.753,0.901,2.0129,13.5690,19.28,nan,nan,2.656,M3.6,nan,nan,1.027,nan,None
Gaia DR3 5592864704434954368,110.7468444,-32.0001305,14.637,1.508,0.164,1.9821,13.6283,19.27,22.76,6.03,2.664,K5.3,nan,nan,1.049,nan,Gaia DR3
Gaia DR3 5604877178200550400,110.3904269,-31.8730916,11.946,0.703,0.453,2.0575,13.6451,19.37,16.52,7.10,2.632,F8.4,nan,nan,0.990,nan,Gaia DR3
Gaia DR3 5591644349604596864,112.6420651,-34.0293072,13.005,0.957,3.133,2.0524,13.6542,18.55,-12.54,1.29,2.629,G9.2,nan,nan,2.547,nan,Gaia DR3
Gaia DR3 5592593503019358592,111.9149738,-32.6650062,18.121,3.225,0.604,1.9254,13.6770,18.92,nan,nan,2.673,M4.7,nan,nan,0.990,nan,None
