target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,cluster,is_field_like,cluster_notes,field_notes,is_confirmed_cluster,reference_label,model_region
TOI-2048,2350,2350,321,1712,0.0028382631518054672,0.00146491001383508,1.9374999999999998,0.6855390815901754,0.6609671417098155,0.024571939880359883,0.9641567628451425,0.9697885196374623,0.9941927990708479,0.9641567628451425,ok,1.85159629812168,0_10,5.0,1.0,False,False,35,0.008355634512324505,103,0.0035127769582425474,183,0.0022993700988802775,317,0.002045356092978277,407,0.0015928539796328215,548,0.001437641354082835,757,0.0014229955738649385,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-2048.csv,,False,,,False,unknown,robust_cluster_candidate
TIC_434398831,4498,4498,642,3249,0.0056765263036109345,0.00278007747368585,2.041859033548784,0.6684429659429342,0.6561711635997138,0.01227180234322034,0.9816412125364964,0.9846625766871165,0.9969315741024855,0.9816412125364964,ok,1.9485938220378056,0_10,5.0,1.0,False,False,52,0.012414085561167836,252,0.00859436692696235,338,0.004246924007767944,607,0.003916502045545155,834,0.0032639808820977226,1085,0.0028464249437588976,1330,0.002500111113923868,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TIC_434398831.csv,,False,,,False,unknown,robust_cluster_candidate
WASP-107,771,771,245,216,0.0021662756143063532,0.0001848250952034914,11.720679012345677,0.7125143191807561,0.6542817589978417,0.05823256018291445,0.91827173347215,0.9607843137254902,0.9557522123893806,0.91827173347215,ok,5.451344881002675,0_10,5.0,1.0,False,False,11,0.0026260565610162732,69,0.002353219515715881,165,0.002073202548170742,310,0.002000190501019766,216,0.0008453475665864606,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-107.csv,,False,,,False,unknown,robust_cluster_candidate
HIP_67522,10260,10260,1771,6866,0.015659078011985926,0.005875042146607277,2.665355859792213,0.6482558011117612,0.6436784725915191,0.004577328520242063,0.9929390087795714,0.9943851768669287,0.9985456660849331,0.9929390087795714,ok,2.4416608857650206,0_10,5.0,1.0,False,False,89,0.02124718490276803,589,0.020087627460241363,1093,0.013733396273640128,1623,0.010471965106951872,2416,0.009455369078115226,2135,0.005601029728041702,2315,0.0043516971644614695,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HIP_67522.csv,Sco-Cen,False,,,True,cluster,robust_cluster_candidate
K2-151,393,393,138,144,0.0012201878970378643,0.00012321673013566094,9.902777777777775,0.7364229741277432,0.6420760504504437,0.09434692367729947,0.871884871884872,0.9324324324324325,0.935064935064935,0.8718848718848718,ok,6.333769063180828,20_30,25.0,0.8333333333333334,False,False,5,0.001193662073189215,33,0.0011254528118641173,100,0.0012564863928307528,111,0.0007161972439135291,144,0.0005635650443909737,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-151.csv,,True,,,False,field_like,robust_cluster_candidate
K2-77,6437,6437,1173,1784,0.010371597124821847,0.0015265183789029105,6.794282511210762,0.6388500115989173,0.6299188228029119,0.008931188796005407,0.9860198972625008,0.9915469146238377,0.9944258639910813,0.9860198972625008,ok,5.134048034571594,20_30,25.0,0.6666666666666666,True,False,10,0.00238732414637843,63,0.0021485917317405874,1100,0.01382135032113828,890,0.0057424824061535215,425,0.0016632996101816932,561,0.001471745984745384,798,0.0015000666683543209,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-77.csv,,False,,,False,unknown,robust_cluster_candidate|hollow_core
HD_6061,832,832,215,345,0.0019010173758198612,0.00029520674928335433,6.439613526570048,0.6771858005045666,0.6288608044122219,0.04832499609234464,0.9286384976525822,0.9555555555555556,0.971830985915493,0.9286384976525822,ok,4.078276006963203,10_20,15.0,0.6666666666666666,False,False,10,0.00238732414637843,72,0.0024555334077035283,133,0.0016711269024649012,272,0.0017550058589592785,345,0.0013502079188533744,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_6061.csv,,False,,,False,unknown,robust_cluster_candidate
K2-122,912,912,215,457,0.0019010173758198612,0.0003910419838333128,4.861415025528811,0.6606134954415493,0.6177357030179342,0.04287779242361511,0.9350939804901263,0.9555555555555556,0.9785867237687366,0.9350939804901262,ok,3.6101811998512146,0_10,5.0,0.6666666666666666,False,False,11,0.0026260565610162732,54,0.0018416500557776462,150,0.001884729589246129,240,0.0015485345814346576,400,0.0015654584566415935,57,0.00014953568828963794,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-122.csv,,False,,,False,unknown,robust_cluster_candidate
TOI-1696,606,606,172,198,0.001520813900655889,0.00016942300393653378,8.976430976430976,0.6862695911420443,0.6173815827328154,0.06888800840922893,0.8996196111580727,0.945054945054945,0.9519230769230769,0.8996196111580727,ok,4.638334186721284,0_10,5.0,0.8333333333333334,False,False,8,0.001909859317102744,49,0.0016711269024649012,115,0.0014449593517553657,236,0.00152272567174408,198,0.0007749019360375888,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1696.csv,,False,,,False,unknown,robust_cluster_candidate
TOI-6041,1379,1379,296,686,0.00261721461973339,0.0005869908116184958,4.458697764820213,0.6402473193824034,0.610425868100224,0.02982145128217939,0.9534219818195477,0.9673202614379085,0.985632183908046,0.9534219818195477,ok,3.198796210799904,0_10,5.0,0.8333333333333334,False,False,15,0.0035809862195676453,92,0.0031376260209545082,189,0.0023747592824501225,397,0.0025615342867898296,580,0.0022699147621303107,106,0.0002780839115561688,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6041.csv,,False,,,False,unknown,robust_cluster_candidate
