target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,central_concentration_10pc,peak_shell,peak_radius_mid_pc,monotonic_fraction,hollow_core_flag,anti_cluster_flag,n_0_10pc,density_0_10pc,n_10_20pc,density_10_20pc,n_20_30pc,density_20_30pc,n_30_40pc,density_30_40pc,n_40_50pc,density_40_50pc,n_50_60pc,density_50_60pc,n_60_70pc,density_60_70pc,csv_path,_norm,st_age,st_ageerr1,st_ageerr2,age,age_err,frac_err,no_age,bad_age,terrible_age,priority
K2-154,1141,1141,99,938,0.0008753521870054,0.0008026200893559,1.0906183368869935,0.5307995013502917,0.4770168320983896,0.0537826692519021,0.8986761119498317,0.908256880733945,0.989451476793249,0.8986761119498317,ok,1.1119641714651312,0_10,5.0,0.5,False,False,8,0.0019098593171027,21,0.0007161972439135,70,0.0008795404749815,104,0.000671031651955,228,0.0008923113202857,270,0.0007083269445298,440,0.0008271044286665,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-154.csv,k2-154,,,,,,,True,False,False,True
K2-154,1141,1141,99,938,0.0008753521870054,0.0008026200893559,1.0906183368869935,0.5307995013502917,0.4770168320983896,0.0537826692519021,0.8986761119498317,0.908256880733945,0.989451476793249,0.8986761119498317,ok,1.1119641714651312,0_10,5.0,0.5,False,False,8,0.0019098593171027,21,0.0007161972439135,70,0.0008795404749815,104,0.000671031651955,228,0.0008923113202857,270,0.0007083269445298,440,0.0008271044286665,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-154.csv,k2-154,,,,,,,True,False,False,True
WASP-84,2140,2140,184,1697,0.0016269171960504,0.0014520749377792,1.1204085641327832,0.503496061256918,0.4747451009347506,0.0287509603221674,0.9428973480936592,0.9484536082474226,0.994141769185706,0.9428973480936592,ok,1.1009619025978945,0_10,5.0,0.6666666666666666,False,False,12,0.0028647889756541,52,0.0017734407944525,120,0.0015077836713969,259,0.0016711269024649,396,0.0015498038720751,530,0.0013904195577808,771,0.0014493125329588,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-84.csv,wasp-84,,,,,,,True,False,False,True
WASP-84,2140,2140,184,1697,0.0016269171960504,0.0014520749377792,1.1204085641327832,0.503496061256918,0.4747451009347506,0.0287509603221674,0.9428973480936592,0.9484536082474226,0.994141769185706,0.9428973480936592,ok,1.1009619025978945,0_10,5.0,0.6666666666666666,False,False,12,0.0028647889756541,52,0.0017734407944525,120,0.0015077836713969,259,0.0016711269024649,396,0.0015498038720751,530,0.0013904195577808,771,0.0014493125329588,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-84.csv,wasp-84,,,,,,,True,False,False,True
TOI-663,237,237,55,97,0.0004863067705585,8.300015849416049e-05,5.859106529209622,0.612428929317406,0.4697783375856738,0.1426505917317322,0.7670740474478792,0.8461538461538461,0.9065420560747663,0.7670740474478792,ok,3.536833536833537,30_40,35.0,0.6666666666666666,False,False,2,0.0004774648292756,15,0.0005115694599382,38,0.0004774648292756,85,0.0005484393309247,97,0.0003796236757355,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-663.csv,toi-663,,,,,,,True,False,False,True
TOI-663,237,237,55,97,0.0004863067705585,8.300015849416049e-05,5.859106529209622,0.612428929317406,0.4697783375856738,0.1426505917317322,0.7670740474478792,0.8461538461538461,0.9065420560747663,0.7670740474478792,ok,3.536833536833537,30_40,35.0,0.6666666666666666,False,False,2,0.0004774648292756,15,0.0005115694599382,38,0.0004774648292756,85,0.0005484393309247,97,0.0003796236757355,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-663.csv,toi-663,,,,,,,True,False,False,True
TOI-663,237,237,55,97,0.0004863067705585,8.300015849416049e-05,5.859106529209622,0.612428929317406,0.4697783375856738,0.1426505917317322,0.7670740474478792,0.8461538461538461,0.9065420560747663,0.7670740474478792,ok,3.536833536833537,30_40,35.0,0.6666666666666666,False,False,2,0.0004774648292756,15,0.0005115694599382,38,0.0004774648292756,85,0.0005484393309247,97,0.0003796236757355,0,0.0,0,0.0,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-663.csv,toi-663,,,,,,,True,False,False,True
CoRoT-6,1114,1114,99,899,0.0008753521870054,0.0007692488916108,1.1379310344827585,0.5218284321849358,0.4687402457877037,0.053088186397232,0.8982650558633846,0.908256880733945,0.988998899889989,0.8982650558633846,ok,1.1415435139573071,0_10,5.0,0.3333333333333333,False,False,7,0.0016711269024649,23,0.0007844065052386,69,0.0008669756110532,116,0.0007484583810267,192,0.0007514200591879,290,0.0007607956070876,417,0.0007838694244407,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\CoRoT-6.csv,corot-6,,,,,,,True,False,False,True
TOI-1174,1711,1711,148,1374,0.0013086073098666,0.001175692966711,1.1130519165453665,0.5034872661487516,0.4682133174154941,0.0352739487332575,0.92994073315285,0.9367088607594936,0.9927745664739884,0.92994073315285,ok,1.1082201843558208,0_10,5.0,0.6666666666666666,False,False,10,0.0023873241463784,39,0.0013300805958394,99,0.0012439215289024,189,0.0012194709828797,339,0.0013267260420037,539,0.0014140304559318,496,0.0009323722650422,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1174.csv,toi-1174,,,,,,,True,False,False,True
K2-242,1971,1971,196,1580,0.001733020491445,0.001351961344544,1.2818565400843882,0.4873977682125061,0.4608210931796082,0.0265766750328978,0.9454723087256518,0.9514563106796116,0.9937106918238994,0.9454723087256518,ok,1.2923526343244651,10_20,15.0,0.5,False,False,6,0.001432394487827,55,0.0018757546864401,135,0.0016962566303215,195,0.0012581843474156,318,0.00124453947303,522,0.0013694320927577,740,0.0013910392663937,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-242.csv,k2-242,,,,,,,True,False,False,True
