GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5592609716515072512 111.6694952 -32.5059392 18.899  3.327       1.122   1.8918  12.9869    18.99      nan      nan    2.614  nan      nan    nan   1.012     nan                                None      -8.253       4.659      -8.695       0.162       4.227       0.208
Gaia DR3 5592851166698244992 110.8779374 -32.1222042 17.386  2.998       1.263   1.8953  12.9888    19.22      nan      nan    2.615  nan      nan    nan   1.030     nan                                None      -8.097       4.650      -8.566       0.071       4.136       0.078
Gaia DR3 5592846523828932352 110.9072768 -32.2254083 13.358  1.031       0.259   1.8058  13.0337    19.20      nan      nan    2.602  nan      nan    nan   0.940     nan                                None      -8.064       4.644      -8.173       0.011       4.736       0.012
Gaia DR3 5592859374373281792 110.6528893 -32.0073658 19.603  2.673       0.694   1.9573  13.0379    19.29      nan      nan    2.648  nan      nan    nan   1.015     nan                                None      -8.156       4.705      -8.392       0.288       4.399       0.311
Gaia DR3 5590041399089194240 110.5324876 -35.0638686 20.266  2.782       2.550   1.1799  13.0536    18.84      nan      nan    2.566  nan      nan    nan   1.041     nan                                None      -7.879       5.119      -9.258       0.461       5.155       0.572
Gaia DR3 5592849964107356672 110.9800722 -32.0664003 12.825  0.873       0.349   1.9762  13.1249    19.21      nan      nan    2.631  nan      nan    nan   1.098     nan                                None      -8.166       4.660      -8.281       0.014       4.816       0.014
Gaia DR3 5592868307903011712 110.6609831 -31.9718891 12.521  0.812       0.480   1.9934  13.2423    19.29      nan      nan    2.646  nan      nan    nan   0.975     nan                                None      -8.150       4.694      -8.059       0.009       4.946       0.012
Gaia DR3 5592800073765519616 111.1084933 -32.2461666 17.329  2.715       0.611   1.8513  13.2960    19.16      nan      nan    2.602  nan      nan    nan   1.062     nan                                None      -8.105       4.634      -8.091       0.068       4.299       0.076
Gaia DR3 5590081806140309632 110.8246092 -34.5425528 16.713  2.504       0.593   0.8229  13.3488    18.86      nan      nan    2.724  nan      nan    nan   1.066     nan                                None      -8.425       5.312      -8.141       0.053       5.124       0.055
Gaia DR3 5591699905000592768 112.5380834 -33.4910273 13.616  1.111       1.278   2.0163  13.3735    18.66      nan      nan    2.632  nan      nan    nan   1.020     nan                                None      -8.481       4.801      -9.001       0.013       4.319       0.015
Gaia DR3 5592453693242782720 111.1338676 -33.3597512 16.538  2.484       0.728   0.9797  13.4086    18.98      nan      nan    2.721  nan      nan    nan   0.998     nan                                None      -8.480       5.056      -8.082       0.042       4.928       0.049
Gaia DR3 5604742522388106496 109.9720956 -32.4117543 15.459  2.099       2.018   1.5197  13.4146    19.38      nan      nan    2.701  nan      nan    nan   5.314     nan                                None      -8.175       4.928      -9.112       0.119       5.593       0.133
Gaia DR3 5590532051850776832 108.3934211 -35.2263554 11.774  0.703       2.831   1.9599  13.4343    19.24      nan      nan    2.663  nan      nan    nan   0.854     nan                                None      -7.732       5.513      -6.573       0.010       6.600       0.013
Gaia DR3 5592860890504137088 110.4130858 -32.0703803 14.185  1.336       0.684   1.8631  13.4663    19.33      nan      nan    2.601  nan      nan    nan   0.971     nan                                None      -7.961       4.650      -8.150       0.014       4.974       0.015
Gaia DR3 5592862436692294016 110.5888378 -32.0045329 16.517  2.359       0.341   1.9497  13.4884    19.30      nan      nan    2.666  nan      nan    nan   1.042     nan                                None      -8.196       4.740      -8.089       0.041       4.581       0.048
Gaia DR3 5592865803946587392 110.7151699 -31.9620528 17.570  2.753       0.901   2.0129  13.5690    19.28      nan      nan    2.656  nan      nan    nan   1.027     nan                                None      -8.192       4.706      -7.698       0.071       4.602       0.082
Gaia DR3 5592864704434954368 110.7468444 -32.0001305 14.637  1.508       0.164   1.9821  13.6283    19.27      nan      nan    2.664  nan      nan    nan   1.049     nan                                None      -8.223       4.725      -8.289       0.018       4.789       0.019
Gaia DR3 5604877178200550400 110.3904269 -31.8730916 11.946  0.703       0.453   2.0575  13.6451    19.37      nan      nan    2.632  nan      nan    nan   0.990     nan                                None      -8.053       4.671      -8.022       0.012       4.920       0.014
Gaia DR3 5592593503019358592 111.9149738 -32.6650062 18.121  3.225       0.604   1.9254  13.6770    18.92      nan      nan    2.673  nan      nan    nan   0.990     nan                                None      -8.488       4.774      -8.151       0.105       4.725       0.138
Gaia DR3 5592859172517133696 110.6485025 -32.0459908  6.795 -0.250       0.557   1.9187  13.6852    19.29      nan      nan    2.603  nan      nan    nan   0.950     nan                                None      -8.015       4.632      -8.123       0.034       4.918       0.044
Gaia DR3 5592584775644704512 111.5607187 -32.6491300 17.277  2.713       0.518   1.7238  13.7353    19.00      nan      nan    2.586  nan      nan    nan   1.047     nan                                None      -8.141       4.642      -8.198       0.060       4.919       0.071
Gaia DR3 5592786467309312384 110.9449796 -32.4874731 12.086  0.860       0.228   1.5744  13.7514    19.16      nan      nan    2.701  nan      nan    nan   0.884     nan                                None      -8.379       4.869      -8.278       0.008       4.949       0.010
Gaia DR3 5604781177094910080 110.2549276 -32.0029185 19.749  2.718       2.235   1.9207  13.7816    19.38      nan      nan    2.676  nan      nan    nan   1.013     nan                                None      -8.157       4.783      -7.078       0.369       5.433       0.381
Gaia DR3 5592502651566288896 111.9793533 -33.0430135 17.586  2.795       0.491   1.7462  13.8138    18.85      nan      nan    2.586  nan      nan    nan   1.038     nan                                None      -8.225       4.682      -7.969       0.074       4.603       0.077
Gaia DR3 5589759198257185792 111.2705971 -35.8172445 12.605  0.996       1.856   2.0989  14.0075    18.56      nan      nan    2.651  nan      nan    nan   8.090     nan                                None      -8.288       5.364      -8.601       0.109       4.375       0.105
Gaia DR3 5604889410271447296 110.1921571 -31.8247008 11.638  0.644       1.858   2.0977  14.0167    19.42      nan      nan    2.625  nan      nan    nan   1.033     nan                                None      -7.990       4.664      -8.167       0.012       3.651       0.014
Gaia DR3 5603471383866875776 108.3005340 -32.5093618 17.360  2.780       0.339   2.1079  14.0394    19.71      nan      nan    2.627  nan      nan    nan   1.006     nan                                None      -7.610       4.935      -7.750       0.063       5.060       0.076
Gaia DR3 5592389062573489792 111.6438542 -33.6341220 16.056  2.128       0.635   1.2582  14.0976    18.83      nan      nan    2.560  nan      nan    nan   0.951     nan                                None      -8.078       4.766      -8.380       0.034       4.605       0.036
Gaia DR3 5592850410783956096 110.9652933 -32.0477224 14.762  1.544       0.384   1.9896  14.1901    19.22      nan      nan    2.602  nan      nan    nan   1.049     nan                                None      -8.074       4.607      -8.225       0.020       4.754       0.023
Gaia DR3 5592878654489907712 111.0085794 -31.9106399  9.013  0.070       0.666   2.1312  14.2582    19.23      nan      nan    2.653  nan      nan    nan   1.323     nan                                None      -8.242       4.668      -7.891       0.021       4.794       0.025
Gaia DR3 5592827939514357888 111.2240928 -31.9866211 15.411  1.904       0.552   2.1280  14.2912    19.17      nan      nan    2.622  nan      nan    nan   1.045     nan                                None      -8.187       4.611      -7.903       0.023       4.500       0.027
Gaia DR3 5592890302441260672 110.9184819 -31.8808575 16.057  2.387       0.355   2.1359  14.3363    19.25      nan      nan    2.655  nan      nan    nan   1.139     nan                                None      -8.230       4.673      -8.156       0.033       4.489       0.040
Gaia DR3 5592852575447289856 110.8139553 -32.0466848  8.241 -0.141       0.464   1.9518  14.3508    19.25      nan      nan    2.595  nan      nan    nan   0.981     nan                                None      -8.024       4.606      -7.835       0.031       4.776       0.036
Gaia DR3 5591191728770203008 109.6234020 -33.2494011 15.692  1.998       2.579   0.8127  14.3607    19.32      nan      nan    2.547  nan      nan    nan   1.085     nan                                None      -7.642       4.826      -6.866       0.028       5.973       0.034
Gaia DR3 5592878036014593408 111.0295331 -31.8915283  9.355 -0.026       0.714   2.1551  14.3961    19.23      nan      nan    2.652  nan      nan    nan   1.184     nan                                None      -8.243       4.662      -7.857       0.020       4.562       0.023
Gaia DR3 5591300855300593408 112.4547226 -34.9968915 14.366  1.338       0.882   2.1684  14.4383    18.44      nan      nan    2.650  nan      nan    nan   0.957     nan                                None      -8.521       5.113      -8.824       0.015       4.724       0.017
Gaia DR3 5592808663701148928 111.3320710 -32.2082948 12.160  0.734       0.645   1.9712  14.4393    19.11      nan      nan    2.682  nan      nan    nan   0.829     nan                                None      -8.398       4.750      -8.045       0.008       4.845       0.009
Gaia DR3 5592358207527679872 111.2142229 -33.9242582 16.459  2.394       1.169   0.8661  14.4955    18.88      nan      nan    2.733  nan      nan    nan   1.004     nan                                None      -8.533       5.178      -7.887       0.041       5.369       0.051
Gaia DR3 5591191728770204928 109.6222314 -33.2540698 17.135  2.942       1.949   0.8094  14.5048    19.32      nan      nan    2.546  nan      nan    nan   0.975     nan                                None      -7.639       4.825      -7.020       0.056       5.668       0.069
Gaia DR3 5592848108681706752 110.9446343 -32.1173926 13.338  1.045       0.218   1.9181  14.5386    19.21      nan      nan    2.590  nan      nan    nan   0.977     nan                                None      -8.032       4.599      -8.151       0.011       4.603       0.013
Gaia DR3 5589883958468025600 110.0128164 -35.9042422 18.423  3.255       1.275   1.9861  14.5477    18.80      nan      nan    2.682  nan      nan    nan   0.980     nan                                None      -8.128       5.550      -7.407       0.138       5.565       0.154
Gaia DR3 5592841404232051712 110.8556098 -32.2308565 19.222  2.976       0.705   1.7862  14.5781    19.21      nan      nan    2.580  nan      nan    nan   1.045     nan                                None      -7.984       4.609      -8.191       0.230       4.287       0.279
Gaia DR3 5592845703499906560 110.7611410 -32.1569906 16.521  2.438       0.215   1.8335  14.5789    19.24      nan      nan    2.583  nan      nan    nan   1.090     nan                                None      -7.975       4.608      -8.080       0.046       4.555       0.058
Gaia DR3 5604893189842644992 110.2070560 -31.7329156 16.682  2.469       0.256   2.1896  14.5887    19.43      nan      nan    2.650  nan      nan    nan   1.000     nan                                None      -8.070       4.690      -8.026       0.040       4.826       0.046
Gaia DR3 5592850303400116864 111.0266654 -32.0268832  8.718 -0.001       0.323   2.0270  14.6187    19.21      nan      nan    2.679  nan      nan    nan   1.057     nan                                None      -8.327       4.735      -8.322       0.026       4.553       0.030
Gaia DR3 5592828283111691648 111.2699706 -31.9579052 17.105  2.729       0.267   2.1703  14.7212    19.16      nan      nan    2.661  nan      nan    nan   1.088     nan                                None      -8.320       4.671      -8.360       0.056       4.527       0.065
Gaia DR3 5592594465092059008 111.8523460 -32.6346631 17.881  2.883       2.196   1.9066  14.8445    18.94      nan      nan    2.694  nan      nan    nan   0.991     nan                                None      -8.540       4.810      -9.764       0.092       5.050       0.118
Gaia DR3 5592863708002601216 110.5822325 -31.9404372 16.458  2.374       0.190   2.0118  14.9175    19.32      nan      nan    2.686  nan      nan    nan   1.063     nan                                None      -8.256       4.764      -8.176       0.039       4.693       0.046
Gaia DR3 5592602917587505280 112.1248445 -32.4264649 17.243  2.752       0.753   2.2166  14.9317    18.91      nan      nan    2.658  nan      nan    nan   1.061     nan                                None      -8.482       4.687      -8.901       0.065       4.634       0.076
Gaia DR3 5592834360484355584 111.3292172 -31.8983887 14.777  1.634       0.387   2.2456  14.9959    19.16      nan      nan    2.625  nan      nan    nan   1.049     nan                                None      -8.218       4.592      -8.064       0.018       4.741       0.020
Gaia DR3 5590712925815505152 109.9393846 -34.9115188 11.325  0.592       1.942   1.0074  15.0188    18.99      nan      nan    2.547  nan      nan    nan   0.912     nan                                None      -7.702       5.099      -6.953       0.014       5.824       0.015
Gaia DR3 5592848452278872832 111.0131226 -32.1589429  8.342 -0.000       1.805   1.8996  15.0236    19.19      nan      nan    2.696  nan      nan    nan   1.338     nan                                None      -8.378       4.792      -7.561       0.029       4.170       0.036
Gaia DR3 5603053638167620096 108.5473894 -33.8280472 10.742  0.383       2.374   1.3508  15.0237    19.45      nan      nan    2.556  nan      nan    nan   1.129     nan                                None      -7.453       5.026      -6.604       0.016       5.983       0.018
Gaia DR3 5604885527620855296 110.4911224 -31.7017381 16.354  2.357       0.318   2.2369  15.0256    19.37      nan      nan    2.657  nan      nan    nan   1.041     nan                                None      -8.148       4.674      -8.273       0.040       4.800       0.046
