GaiaDR3                               RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate                               RVsrc    PMRApred   PMDecpred        PMRA     PMRAerr       PMDec    PMDecerr
Gaia DR3 5604924418545177728 110.5213641 -31.4972495 18.419  3.027       0.399   2.4430  19.7121    19.39      nan      nan    2.563  nan      nan    nan   1.040     nan                                None      -7.866       4.469      -8.081       0.121       4.452       0.140
Gaia DR3 5592844221727463808 110.7551755 -32.2188626 18.064  2.980       0.898   1.7725  19.7326    19.24      nan      nan    2.532  nan      nan    nan   1.039     nan                                None      -7.816       4.529      -7.973       0.113       4.982       0.147
Gaia DR3 5590566037932365824 108.8194674 -34.9049513 17.548  3.144       1.861   1.4858  19.7345    19.21      nan      nan    2.762  nan      nan    nan   1.233     nan                                None      -8.113       5.621      -7.368       0.104       6.408       0.111
Gaia DR3 5592519663939249920 111.7527347 -32.9159137 17.851  2.982       0.823   1.6604  19.7689    18.92      nan      nan    2.528  nan      nan    nan   1.037     nan                                None      -7.997       4.572      -8.350       0.088       4.832       0.100
Gaia DR3 5604987610405962496 110.7064246 -31.0662144 16.051  2.269       1.176   2.8917  19.7808    19.41      nan      nan    2.605  nan      nan    nan   1.006     nan                                None      -8.034       4.450      -8.679       0.032       4.422       0.034
Gaia DR3 5590242163036023424 109.0030455 -36.1046455 16.984  2.406       2.768   2.3825  19.8527    18.97      nan      nan    2.557  nan      nan    nan   0.998     nan                                None      -7.549       5.406      -6.158       0.055       5.948       0.067
Gaia DR3 5604947095973298304 109.9654267 -31.5158251 19.969  3.222       1.473   2.4127  19.8584    19.51      nan      nan    2.724  nan      nan    nan   1.039     nan                                None      -8.243       4.796      -7.465       0.382       4.464       0.481
Gaia DR3 5604925797235181184 110.6218360 -31.4214533 16.880  2.784       0.501   2.5296  19.8917    19.38      nan      nan    2.566  nan      nan    nan   1.024     nan                                None      -7.897       4.455      -7.786       0.051       4.702       0.054
Gaia DR3 5592073124780905088 113.4237642 -33.2252233 13.795  1.210       0.517   2.7987  19.8922    18.50      nan      nan    2.691  nan      nan    nan   1.021     nan                                None      -8.849       4.786      -9.139       0.013       4.835       0.013
Gaia DR3 5604862678395364096 109.7420088 -31.6362187 11.636  0.643       0.840   2.3143  19.8988    19.54      nan      nan    2.730  nan      nan    nan   0.903     nan                                None      -8.216       4.848      -7.825       0.011       5.132       0.014
Gaia DR3 5590719729042730624 110.0476993 -34.7818795 17.369  3.127       1.264   0.8655  19.9057    18.99      nan      nan    2.776  nan      nan    nan   1.024     nan                                None      -8.420       5.525      -9.068       0.062       5.166       0.070
Gaia DR3 5590792846565785088 109.5925837 -34.4207403 15.468  1.898       2.336   0.6906  19.9084    19.14      nan      nan    2.779  nan      nan    nan   1.004     nan                                None      -8.329       5.497      -7.171       0.025       6.224       0.026
Gaia DR3 5591858513848400768 113.4779015 -33.6436283 20.190  2.465       1.179   2.7630  20.0061    18.42      nan      nan    2.697  nan      nan    nan   1.104     nan                                None      -8.880       4.869      -8.307       0.443       5.217       0.519
Gaia DR3 5592609682155697280 111.6632585 -32.5283551 17.422  2.764       0.895   1.8715  20.0197    18.99      nan      nan    2.752  nan      nan    nan   1.014     nan                                None      -8.687       4.910      -9.141       0.065       4.658       0.075
Gaia DR3 5592514475618427136 111.8753639 -33.0280446 16.271  2.242       0.253   1.6799  20.0357    18.87      nan      nan    2.527  nan      nan    nan   0.943     nan                                None      -8.015       4.579      -8.138       0.036       4.522       0.039
Gaia DR3 5605165593843370624 109.7881648 -31.0549536 17.954    nan       0.736   2.8854  20.0627    19.61      nan      nan    2.684  nan      nan    nan   1.230     nan                                None      -8.085       4.649      -7.750       0.209       4.897       0.272
Gaia DR3 5592649578109621248 110.1222963 -33.1560321 13.836  1.470       0.191   0.7673  20.1131    19.23      nan      nan    2.779  nan      nan    nan   1.064     nan                                None      -8.446       5.207      -8.432       0.013       5.318       0.014
Gaia DR3 5590360631118410240 108.8570746 -35.3015693 19.327  3.107       2.239   1.7523  20.1464    19.14      nan      nan    2.758  nan      nan    nan   1.072     nan                                None      -8.108       5.686      -7.040       0.261       6.430       0.297
Gaia DR3 5602578683501767936 106.6300672 -34.7367444  8.472  0.040       2.738   3.0348  20.1563    19.67      nan      nan    2.628  nan      nan    nan   1.761     nan                                None      -7.263       5.480      -7.183       0.037       6.995       0.041
Gaia DR3 5589659284437840768 110.8291286 -36.0355114 18.751  3.269       1.625   2.1810  20.1871    18.61      nan      nan    2.741  nan      nan    nan   1.028     nan                                None      -8.476       5.625      -9.077       0.156       4.904       0.187
Gaia DR3 5602578683497310208 106.6299862 -34.7373341 13.198    nan       1.762   3.0350  20.1908    19.67      nan      nan    2.655  nan      nan    nan   2.127     nan                                None      -7.338       5.537      -6.357       0.057       5.640       0.044
Gaia DR3 5589700408746230016 111.9428205 -35.8430508 17.456  2.802       1.558   2.4089  20.1970    18.41      nan      nan    2.728  nan      nan    nan   0.986     nan                                None      -8.669       5.466      -7.852       0.073       5.098       0.086
Gaia DR3 5604973312449611776 109.9566480 -31.1922644 17.649  2.856       0.234   2.7360  20.2289    19.56      nan      nan    2.578  nan      nan    nan   0.936     nan                                None      -7.801       4.480      -7.855       0.075       4.595       0.090
Gaia DR3 5592105521714883328 113.5287343 -32.9152185  9.850  0.126       1.885   2.9783  20.2612    18.52      nan      nan    2.608  nan      nan    nan   2.799     nan                                None      -8.595       4.574      -9.260       0.043       3.779       0.054
Gaia DR3 5591230830152448512 112.7705160 -35.3176658 14.068  1.259       0.217   2.5543  20.3094    18.32      nan      nan    2.563  nan      nan    nan   1.023     nan                                None      -8.303       4.975      -8.419       0.015       4.961       0.016
Gaia DR3 5590792842269106304 109.5946021 -34.4177090 16.908  2.394       2.682   0.6873  20.3651    19.14      nan      nan    2.782  nan      nan    nan   0.976     nan                                None      -8.341       5.503      -7.034       0.052       6.379       0.052
Gaia DR3 5591226668322001536 112.4675377 -35.4290977 18.007  2.871       0.779   2.4163  20.3788    18.37      nan      nan    2.730  nan      nan    nan   1.036     nan                                None      -8.782       5.347      -8.848       0.092       4.903       0.096
Gaia DR3 5592828008233842176 111.2107847 -31.9819577 15.922  2.125       0.953   2.1277  20.4554    19.17      nan      nan    2.539  nan      nan    nan   1.025     nan                                None      -7.927       4.466      -8.254       0.030       4.857       0.034
Gaia DR3 5592897140029152896 110.8841445 -31.7022741 12.562  0.824       0.439   2.2996  20.4744    19.28      nan      nan    2.738  nan      nan    nan   0.873     nan                                None      -8.479       4.786      -8.226       0.009       4.802       0.010
Gaia DR3 5591304256914738688 112.2361294 -34.9183537  6.891 -0.156       2.611   1.9737  20.4847    18.50      nan      nan    2.533  nan      nan    nan   1.180     nan                                None      -8.104       4.891      -8.807       0.042       3.688       0.045
Gaia DR3 5592821990977297792 111.2757134 -32.1054348 19.382    nan       1.595   2.0396  20.5101    19.14      nan      nan    2.750  nan      nan    nan   0.991     nan                                None      -8.600       4.856      -7.685       0.266       4.724       0.259
Gaia DR3 5589592626546082944 111.4940791 -36.3243763 15.622  1.951       0.588   2.6347  20.6389    18.43      nan      nan    2.719  nan      nan    nan   1.056     nan                                None      -8.546       5.575      -8.669       0.029       5.261       0.028
Gaia DR3 5605054440093708032 109.2536121 -31.4737290 16.166  2.254       0.451   2.5672  20.6512    19.67      nan      nan    2.560  nan      nan    nan   1.022     nan                                None      -7.606       4.550      -7.712       0.033       4.769       0.043
Gaia DR3 5589784491324711808 111.7581804 -35.4045907 13.065  0.978       2.606   1.9754  20.7207    18.52      nan      nan    2.755  nan      nan    nan   0.926     nan                                None      -8.715       5.454      -7.256       0.011       5.856       0.012
Gaia DR3 5588388519576816512 113.7125814 -34.6426736 18.063  2.991       0.490   3.0139  20.7329    18.22      nan      nan    2.601  nan      nan    nan   1.019     nan                                None      -8.609       4.851      -8.841       0.113       4.715       0.115
Gaia DR3 5589619147966665088 110.5222508 -36.5541617 20.293  2.611       2.831   2.6475  20.7391    18.59      nan      nan    2.564  nan      nan    nan   1.024     nan                                None      -7.871       5.379      -6.766       0.455       6.439       0.517
Gaia DR3 5591254224832627584 112.8591385 -35.2831499 18.854  3.267       2.260   2.5979  20.7503    18.31      nan      nan    2.561  nan      nan    nan   1.028     nan                                None      -8.313       4.957      -9.507       0.176       5.207       0.205
Gaia DR3 5592128542735409024 113.5840732 -32.6206883 19.170  3.021       2.902   3.1367  20.7553    18.55      nan      nan    2.642  nan      nan    nan   0.971     nan                                None      -8.720       4.577      -7.108       0.205       4.706       0.248
Gaia DR3 5591291676947787520 112.2676093 -35.1899382 18.225  2.968       1.183   2.1423  20.8393    18.45      nan      nan    2.749  nan      nan    nan   1.031     nan                                None      -8.803       5.358      -8.253       0.124       4.947       0.124
Gaia DR3 5590460755396336896 107.3879988 -35.6094890 19.189  3.092       2.564   2.8407  20.8518    19.37      nan      nan    2.704  nan      nan    nan   1.062     nan                                None      -7.637       5.751      -7.200       0.243       7.146       0.252
Gaia DR3 5592588795726279680 111.3647217 -32.5648390 17.597  2.768       0.427   1.6853  20.9456    19.05      nan      nan    2.520  nan      nan    nan   1.014     nan                                None      -7.897       4.524      -8.123       0.073       4.519       0.086
Gaia DR3 5590469345328353152 107.0320372 -35.6485378 18.668  3.410       2.801   3.1019  20.9540    19.43      nan      nan    2.670  nan      nan    nan   0.969     nan                                None      -7.466       5.713      -6.639       0.146       7.056       0.173
Gaia DR3 5603374901722679168 108.0890132 -32.6657359 15.913  2.223       2.808   2.1460  20.9552    19.72      nan      nan    2.750  nan      nan    nan   1.174     nan                                None      -7.920       5.212      -6.426       0.037       5.858       0.044
Gaia DR3 5603553499341475968 107.8657548 -32.1274535 12.335  0.789       2.833   2.6371  20.9577    19.85      nan      nan    2.561  nan      nan    nan   0.936     nan                                None      -7.330       4.768      -6.580       0.009       6.102       0.010
Gaia DR3 5589684263969052032 111.9056076 -36.0831609 16.787  2.777       1.053   2.5863  20.9704    18.38      nan      nan    2.557  nan      nan    nan   1.114     nan                                None      -8.119       5.169      -8.683       0.052       5.106       0.062
Gaia DR3 5590058510238109696 111.1467322 -34.8726824 18.342  3.292       2.488   1.2458  21.0262    18.74      nan      nan    2.509  nan      nan    nan   0.989     nan                                None      -7.822       4.924      -9.067       0.116       5.350       0.150
Gaia DR3 5592891401952894080 110.8805084 -31.8392439 16.536  2.824       0.491   2.1667  21.0552    19.27      nan      nan    2.535  nan      nan    nan   1.072     nan                                None      -7.851       4.458      -7.666       0.044       4.643       0.051
Gaia DR3 5604972870077274496 109.9245590 -31.2277934 13.499  1.087       0.606   2.7025  21.0578    19.56      nan      nan    2.564  nan      nan    nan   1.149     nan                                None      -7.753       4.465      -7.627       0.012       4.767       0.015
Gaia DR3 5586655246873134848 112.2579109 -36.5005105 16.706  2.576       0.854   3.0911  21.0789    18.24      nan      nan    2.605  nan      nan    nan   0.959     nan                                None      -8.340       5.309      -7.945       0.046       5.056       0.051
Gaia DR3 5591746157510578304 112.1437678 -33.2357668 17.369  2.808       0.469   1.7816  21.1359    18.78      nan      nan    2.521  nan      nan    nan   1.035     nan                                None      -8.049       4.585      -8.073       0.071       4.337       0.081
Gaia DR3 5590052630425937280 110.7636432 -34.7922666 17.863  2.922       2.433   0.9983  21.1466    18.83      nan      nan    2.784  nan      nan    nan   1.093     nan                                None      -8.598       5.482      -7.348       0.104       6.174       0.124
Gaia DR3 5603179154284558080 108.1705621 -32.9378257 19.724  2.721       2.770   1.9377  21.1808    19.66      nan      nan    2.761  nan      nan    nan   1.054     nan                                None      -7.969       5.281      -7.432       0.316       3.761       0.400
Gaia DR3 5591869852570174592 113.3783269 -33.6682917 18.050  2.556       2.794   2.6778  21.1966    18.44      nan      nan    2.561  nan      nan    nan   1.069     nan                                None      -8.412       4.635      -7.508       0.095       3.427       0.109
Gaia DR3 5591855215321644800 113.6947762 -33.6915648 16.228  2.311       0.725   2.9374  21.2066    18.37      nan      nan    2.700  nan      nan    nan   0.966     nan                                None      -8.934       4.865      -9.346       0.037       4.861       0.044
Gaia DR3 5592868307907534848 110.6517810 -31.9649095 17.974  2.892       1.144   1.9987  21.2721    19.30      nan      nan    2.527  nan      nan    nan   0.990     nan                                None      -7.782       4.482      -8.280       0.100       4.834       0.106
Gaia DR3 5589247757851949568 110.3779486 -36.5059981 16.968  1.288       2.610   2.5892  21.2806    18.63      nan      nan    2.730  nan      nan    nan   1.049     nan                                None      -8.350       5.731      -6.885       0.069       6.062       0.083
Gaia DR3 5605008226248861824 110.2406638 -30.8647081 16.725  2.563       0.718   3.0582  21.2838    19.54      nan      nan    2.687  nan      nan    nan   0.968     nan                                None      -8.190       4.585      -7.955       0.047       4.918       0.058
Gaia DR3 5590530750481732096 108.4553669 -35.2776085 13.651  1.196       0.892   1.9569  21.2984    19.22      nan      nan    2.761  nan      nan    nan   3.687     nan                                None      -8.032       5.722      -8.534       0.044       5.590       0.052
Gaia DR3 5593207094923704064 111.6399683 -31.8571609 18.710  3.153       0.477   2.4057  21.3941    19.10      nan      nan    2.543  nan      nan    nan   1.026     nan                                None      -8.022       4.419      -8.218       0.146       4.583       0.172
Gaia DR3 5593274135078609152 111.4980961 -31.3866921 17.292  2.732       1.000   2.7710  21.3960    19.19      nan      nan    2.719  nan      nan    nan   1.014     nan                                None      -8.547       4.645      -9.071       0.059       4.878       0.069
Gaia DR3 5603085828943645696 108.8526067 -33.5928745 17.813  2.769       2.788   1.1441  21.4755    19.42      nan      nan    2.504  nan      nan    nan   1.065     nan                                None      -7.363       4.861      -5.928       0.091       5.189       0.107
Gaia DR3 5592063641493475712 113.1797661 -33.4855962 15.650  1.385       2.120   2.5412  21.4771    18.51      nan      nan    2.736  nan      nan    nan   9.946     nan                                None      -8.946       4.934      -9.005       0.260       6.155       0.299
Gaia DR3 5605177551036987904 109.4548535 -30.9598732 16.188  2.314       0.984   3.0233  21.4790    19.70      nan      nan    2.696  nan      nan    nan   1.013     nan                                None      -8.052       4.676      -7.777       0.034       5.162       0.038
Gaia DR3 5593237198350038528 112.4056595 -31.3576254 18.185  2.828       1.470   3.1811  21.5688    18.99      nan      nan    2.608  nan      nan    nan   0.969     nan                                None      -8.378       4.382      -9.156       0.099       4.163       0.108
Gaia DR3 5605043612473425664 108.8564972 -31.5266467 18.238  3.215       0.493   2.6383  21.6177    19.74      nan      nan    2.553  nan      nan    nan   1.069     nan                                None      -7.508       4.575      -7.740       0.115       4.704       0.135
Gaia DR3 5605202805442339968 110.1855421 -30.6602086 19.396  3.015       1.133   3.2621  21.6376    19.58      nan      nan    2.652  nan      nan    nan   0.949     nan                                None      -8.070       4.490      -7.667       0.273       4.001       0.399
Gaia DR3 5590182308374735104 107.7276693 -36.5140722 15.352  2.240       2.711   3.2707  21.6448    19.15      nan      nan    2.638  nan      nan    nan   1.254     nan                                None      -7.520       5.753      -7.116       0.030       7.205       0.032
Gaia DR3 5591771755516466688 112.3585757 -33.0594116 13.173  0.951       0.178   2.0185  21.6541    18.76      nan      nan    2.525  nan      nan    nan   1.084     nan                                None      -8.101       4.544      -8.195       0.012       4.530       0.014
Gaia DR3 5593270114989173760 111.6302870 -31.4564932 16.516  2.407       0.544   2.7549  21.6607    19.16      nan      nan    2.561  nan      nan    nan   1.013     nan                                None      -8.076       4.378      -8.196       0.038       4.646       0.049
Gaia DR3 5592557494012855936 111.4101390 -33.0365429 16.147  2.164       1.722   1.3615  21.6726    18.97      nan      nan    2.507  nan      nan    nan   0.965     nan                                None      -7.865       4.580      -6.997       0.035       4.854       0.037
Gaia DR3 5592867453213998720 110.7528640 -31.9237564  5.374 -0.195       0.992   2.0575  21.6995    19.28      nan      nan    2.526  nan      nan    nan   0.948     nan                                None      -7.797       4.465      -7.964       0.058       4.966       0.072
Gaia DR3 5591268690284059392 112.8747667 -34.9645468 17.640  2.679       0.772   2.4616  21.7474    18.35      nan      nan    2.542  nan      nan    nan   0.973     nan                                None      -8.256       4.866      -8.362       0.075       4.466       0.088
Gaia DR3 5604937273387671296 110.6766450 -31.2308022 16.913  2.575       0.250   2.7251  21.7702    19.40      nan      nan    2.557  nan      nan    nan   1.028     nan                                None      -7.879       4.400      -7.894       0.053       4.534       0.058
Gaia DR3 5590731441413656704 109.3133622 -35.1414596 19.813  2.673       1.286   1.4088  21.8126    19.08      nan      nan    2.782  nan      nan    nan   1.215     nan                                None      -8.279       5.668      -8.387       0.388       6.414       0.489
Gaia DR3 5604175964660747136 107.0370773 -32.5634223 12.635  0.851       1.547   2.9517  21.8524    19.95      nan      nan    2.573  nan      nan    nan   0.874     nan                                None      -7.196       4.930      -6.463       0.009       5.339       0.011
Gaia DR3 5588283206974735488 113.7323343 -35.3366138 18.584  3.431       1.156   3.2540  21.8573    18.10      nan      nan    2.667  nan      nan    nan   1.128     nan                                None      -8.832       5.096      -8.255       0.188       4.795       0.199
Gaia DR3 5588379074949628416 114.0768813 -34.6788148 13.117    nan       0.634   3.3143  21.9294    18.13      nan      nan    2.639  nan      nan    nan   1.297     nan                                None      -8.805       4.896      -9.121       0.017       4.740       0.030
Gaia DR3 5605234416405359232 109.5540807 -30.7244438 13.159  0.991       1.473   3.2400  21.9346    19.71      nan      nan    2.674  nan      nan    nan   0.952     nan                                None      -8.006       4.585      -8.832       0.009       4.672       0.011
Gaia DR3 5588157244174365696 113.1731641 -35.7513961 11.817  0.701       0.664   3.0689  21.9659    18.16      nan      nan    2.583  nan      nan    nan   0.892     nan                                None      -8.446       5.055      -8.206       0.011       4.784       0.014
Gaia DR3 5586676652987850368 112.0696167 -36.2387084 17.781  3.098       1.290   2.7893  21.9953    18.32      nan      nan    2.726  nan      nan    nan   1.059     nan                                None      -8.687       5.523      -9.175       0.093       4.965       0.112
Gaia DR3 5605196277095317504 110.1873847 -30.8177455 15.766  2.043       0.670   3.1046  22.0261    19.56      nan      nan    2.586  nan      nan    nan   0.950     nan                                None      -7.871       4.408      -7.942       0.030       4.766       0.040
Gaia DR3 5592183591342459008 113.2297953 -32.4344339 16.479  2.399       1.392   2.9613  22.1710    18.65      nan      nan    2.570  nan      nan    nan   0.993     nan                                None      -8.413       4.446      -9.122       0.040       4.703       0.050
Gaia DR3 5604844227215855744 109.8890040 -31.8850144 16.658  2.888       0.299   2.0510  22.2435    19.47      nan      nan    2.767  nan      nan    nan   1.015     nan                                None      -8.358       4.951      -8.256       0.041       5.093       0.050
Gaia DR3 5590861840922043904 110.8002867 -34.0369675  9.806  0.663       1.936   0.5347  22.2491    18.95      nan      nan    2.799  nan      nan    nan   0.846     nan                                None      -8.650       5.360      -7.551       0.010       5.672       0.012
Gaia DR3 5591478495149890432 113.2875515 -33.9387204 17.134  2.917       1.736   2.5863  22.2579    18.42      nan      nan    2.742  nan      nan    nan   1.076     nan                                None      -8.989       5.021      -9.722       0.059       4.336       0.064
Gaia DR3 5605229051984092800 109.3541531 -30.8306686 13.535  1.104       1.691   3.1675  22.2587    19.74      nan      nan    2.694  nan      nan    nan   2.049     nan                                None      -8.025       4.655      -8.023       0.021       5.615       0.023
Gaia DR3 5593124189181564800 112.7787855 -31.5670265 17.034  2.597       0.459   3.2185  22.3044    18.88      nan      nan    2.595  nan      nan    nan   0.999     nan                                None      -8.409       4.370      -8.159       0.051       4.349       0.060
Gaia DR3 5589777889957665280 111.7447096 -35.5818246 19.352  3.167       1.078   2.1040  22.4065    18.50      nan      nan    2.766  nan      nan    nan   0.965     nan                                None      -8.749       5.512      -8.217       0.213       5.177       0.274
Gaia DR3 5592811927868515200 111.6254015 -32.1795475 17.120  2.771       0.747   2.1270  22.4324    19.05      nan      nan    2.522  nan      nan    nan   2.507     nan                                None      -7.954       4.441      -8.153       0.109       4.785       0.122
Gaia DR3 5592855869682124800 110.5993866 -32.1782520 19.015  3.029       1.192   1.7807  22.5430    19.28      nan      nan    2.511  nan      nan    nan   1.022     nan                                None      -7.721       4.495      -7.919       0.195       5.094       0.202
Gaia DR3 5592092400594123136 113.2996611 -33.0025816 15.040  1.634       0.807   2.7677  22.5865    18.56      nan      nan    2.551  nan      nan    nan   0.992     nan                                None      -8.363       4.507      -7.967       0.020       4.684       0.024
Gaia DR3 5604741762171092224 109.9827937 -32.4282473  9.448  0.134       2.011   1.5023  22.7044    19.37      nan      nan    2.788  nan      nan    nan   1.300     nan                                None      -8.440       5.089      -7.916       0.024       6.148       0.027
Gaia DR3 5605182700696451968 109.7716900 -30.7901553 19.441  3.338       1.641   3.1502  22.7544    19.66      nan      nan    2.578  nan      nan    nan   1.065     nan                                None      -7.765       4.419      -8.657       0.254       4.414       0.320
Gaia DR3 5592616798921793664 111.5520792 -32.3391306 16.700  2.849       1.682   1.9609  22.7714    19.05      nan      nan    2.775  nan      nan    nan   1.878     nan                                None      -8.736       4.923      -9.614       0.076       5.366       0.090
Gaia DR3 5602818475817229312 106.2837806 -34.1745568 19.726  2.720       2.777   3.2300  22.7829    19.83      nan      nan    2.587  nan      nan    nan   1.045     nan                                None      -7.077       5.313      -6.181       0.311       4.092       0.385
Gaia DR3 5592605696424233344 111.8146813 -32.4556121 16.033  2.138       0.523   2.0111  22.8011    18.97      nan      nan    2.515  nan      nan    nan   0.983     nan                                None      -7.968       4.463      -8.177       0.034       4.646       0.037
Gaia DR3 5589804282527961856 111.7596338 -35.2180048 18.526  1.332       0.867   1.8415  22.8187    18.55      nan      nan    2.779  nan      nan    nan   1.026     nan                                None      -8.793       5.467      -9.293       0.211       5.382       0.228
Gaia DR3 5604878449515075968 110.3211361 -31.8297830 15.880  2.153       0.427   2.0964  22.8312    19.39      nan      nan    2.771  nan      nan    nan   0.930     nan                                None      -8.462       4.914      -8.322       0.030       5.121       0.034
Gaia DR3 5591475643281087232 113.3316265 -33.9244199 18.583  2.745       0.365   2.6230  22.8492    18.41      nan      nan    2.540  nan      nan    nan   0.999     nan                                None      -8.334       4.645      -8.478       0.139       4.513       0.154
Gaia DR3 5592815707447340800 111.5095604 -32.1529703 17.523  2.864       0.783   2.0954  22.8841    19.08      nan      nan    2.517  nan      nan    nan   1.024     nan                                None      -7.917       4.436      -8.210       0.074       4.730       0.088
Gaia DR3 5591845525864978048 114.2489432 -33.3665626 18.719  2.679       2.195   3.4403  22.8951    18.29      nan      nan    2.659  nan      nan    nan   1.089     nan                                None      -8.904       4.684     -10.129       0.196       4.574       0.212
Gaia DR3 5592079721850602880 113.4287641 -33.0569910 16.365  2.378       0.631   2.8517  22.9325    18.52      nan      nan    2.734  nan      nan    nan   0.991     nan                                None      -8.990       4.830      -9.321       0.036       4.982       0.043
Gaia DR3 5593258226518615424 112.2209741 -31.1144198 14.411  1.430       1.531   3.2974  22.9536    19.07      nan      nan    2.692  nan      nan    nan   1.803     nan                                None      -8.609       4.491      -9.434       0.026       4.217       0.027
Gaia DR3 5591757423206215424 112.6515696 -33.2086374 19.784  2.606       1.324   2.1871  22.9892    18.67      nan      nan    2.520  nan      nan    nan   1.031     nan                                None      -8.141       4.539      -7.581       0.275       4.964       0.354
Gaia DR3 5591917986258055552 113.9809087 -32.9344242 18.347  3.086       1.949   3.3298  23.0048    18.41      nan      nan    2.596  nan      nan    nan   1.123     nan                                None      -8.641       4.519      -9.707       0.118       4.492       0.136
Gaia DR3 5593139135667664384 112.7807833 -31.4085780 16.460  2.496       0.701   3.3386  23.0172    18.90      nan      nan    2.597  nan      nan    nan   1.190     nan                                None      -8.414       4.344      -8.166       0.047       4.637       0.054
Gaia DR3 5605031178550307072 108.9323683 -31.7896592 17.396  2.883       1.966   2.3727  23.0582    19.69      nan      nan    2.526  nan      nan    nan   0.994     nan                                None      -7.443       4.570      -7.953       0.083       5.484       0.077
Gaia DR3 5603194444376281984 109.2824318 -33.1179167 17.334  2.764       0.691   1.0932  23.0972    19.41      nan      nan    2.799  nan      nan    nan   1.022     nan                                None      -8.323       5.303      -8.373       0.065       4.899       0.077
Gaia DR3 5591746466748594944 112.1387309 -33.2011626 19.117  3.039       1.412   1.7917  23.1067    18.79      nan      nan    2.783  nan      nan    nan   1.058     nan                                None      -8.886       5.056      -9.615       0.204       5.449       0.244
Gaia DR3 5591821504113055104 114.1768956 -33.7603121 19.563  2.939       0.105   3.3314  23.1135    18.24      nan      nan    2.593  nan      nan    nan   0.937     nan                                None      -8.671       4.643      -8.710       0.254       4.601       0.317
Gaia DR3 5589220338779699712 110.3806594 -36.9445579 16.948  2.283       1.207   3.0271  23.1229    18.55      nan      nan    2.723  nan      nan    nan   1.042     nan                                None      -8.329       5.798      -7.726       0.060       6.138       0.057
Gaia DR3 5588189409192336128 113.5360717 -35.5031627 16.622  2.527       0.458   3.1861  23.1706    18.12      nan      nan    2.709  nan      nan    nan   1.048     nan                                None      -8.932       5.225      -9.115       0.043       5.038       0.047
Gaia DR3 5604846593737822592 109.9380530 -31.7879849 17.566  2.849       1.991   2.1432  23.1874    19.48      nan      nan    2.773  nan      nan    nan   1.071     nan                                None      -8.385       4.938      -7.567       0.074       5.766       0.085
Gaia DR3 5605909688341690624 108.4439001 -30.7775511 17.422  3.030       0.862   3.4664  23.1986    19.94      nan      nan    2.617  nan      nan    nan   1.306     nan                                None      -7.610       4.575      -7.887       0.088       4.961       0.097
Gaia DR3 5592820135558264960 111.2561582 -32.2266090 10.570    nan       0.871   1.9243  23.2109    19.13      nan      nan    2.510  nan      nan    nan   1.206     nan                                None      -7.844       4.454      -8.104       0.024       4.074       0.031
Gaia DR3 5604924869522324608 110.5233386 -31.4512560 13.936  1.279       2.027   2.4889  23.3179    19.40      nan      nan    2.759  nan      nan    nan   0.998     nan                                None      -8.469       4.803      -7.569       0.012       5.563       0.016
Gaia DR3 5603553778518875136 107.8403894 -32.0972098 18.565  3.557       2.176   2.6736  23.3215    19.86      nan      nan    2.538  nan      nan    nan   0.999     nan                                None      -7.258       4.721      -8.261       0.139       5.312       0.151
Gaia DR3 5593258222218862336 112.2197118 -31.1154440 17.612  2.827       1.534   3.2959  23.3823    19.07      nan      nan    2.701  nan      nan    nan   0.985     nan                                None      -8.639       4.507      -9.236       0.076       3.870       0.076
Gaia DR3 5590260300680568960 109.0029024 -36.0138645 18.385  2.813       0.795   2.2999  23.4611    18.99      nan      nan    2.769  nan      nan    nan   0.998     nan                                None      -8.174       5.836      -8.624       0.123       5.949       0.147
Gaia DR3 5592071681672049152 113.1953467 -33.2256591 16.637  2.508       0.170   2.6147  23.5671    18.55      nan      nan    2.756  nan      nan    nan   0.930     nan                                None      -9.014       4.920      -9.013       0.043       5.019       0.050
Gaia DR3 5592610682881895040 111.6078276 -32.4842741 19.887  2.817       1.265   1.8747  23.5915    19.01      nan      nan    2.785  nan      nan    nan   1.078     nan                                None      -8.780       4.965      -8.511       0.343       4.273       0.424
Gaia DR3 5591629162601727872 111.4882011 -33.8867090 17.583  3.180       0.308   1.0943  23.6195    18.82      nan      nan    2.803  nan      nan    nan   1.005     nan                                None      -8.811       5.281      -8.634       0.087       5.240       0.102
Gaia DR3 5590592043957819648 107.8219141 -35.0806163 19.851  2.832       0.617   2.2554  23.6522    19.38      nan      nan    2.773  nan      nan    nan   1.094     nan                                None      -7.927       5.758      -7.607       0.382       5.926       0.398
Gaia DR3 5592709364055585792 110.3183404 -32.7776445 17.658  2.880       0.756   1.1513  23.6607    19.25      nan      nan    2.490  nan      nan    nan   1.093     nan                                None      -7.604       4.584      -7.772       0.085       4.943       0.091
Gaia DR3 5586616175549295360 112.7354689 -36.5647079 17.884  2.980       1.182   3.3717  23.6925    18.12      nan      nan    2.698  nan      nan    nan   1.039     nan                                None      -8.733       5.466      -9.377       0.091       5.273       0.109
