index,hostname,gaia_id,rv,ok,runtime_s,output_dir,error
13,TOI-260,2428162410789155328,-10.71837807,0,2.36,,HTTPError('500')
14,Qatar-4,385697172809355392,-29.14311028,1,38.18,ALL_RUNS\GaiaDR3385697172809355392_friends,
15,WASP-20,2359978293137038720,1.255960107,1,25.59,ALL_RUNS\GaiaDR32359978293137038720_friends,
16,WASP-1,2862548428079638912,-13.90166569,0,10.13,,HTTPError('Error 500:\nnull')
1,WASP-136,2441013811932929280,11.21512794,0,5.03,,HTTPError("Error 404:\nJob 'bc9d512f-1134-11f1-91f6-bc97e148b76b-O' not found.")
1,WASP-136,2441013811932929280,11.21512794,0,8.19,,HTTPError('Error 500:\nnull')
1,WASP-136,2441013811932929280,11.21512794,0,12.74,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
1,WASP-136,2441013811932929280,11.21512794,1,14.13,ALL_RUNS\GaiaDR32441013811932929280_friends,
1,WASP-136,2441013811932929280,11.21512794,1,16.84,ALL_RUNS\GaiaDR32441013811932929280_friends,
0,HIP_65_A,4923860051276772608,21.18428993,0,5.54,,HTTPError('Error 500:\nnull')
1,WASP-136,2441013811932929280,11.21512794,1,22.01,ALL_RUNS\GaiaDR32441013811932929280_friends,
2,KELT-1,2881784280929695360,-14.20667267,0,8.02,,HTTPError('500')
3,HATS-34,4904523077718046720,19.81319046,1,18.89,ALL_RUNS\GaiaDR34904523077718046720_friends,
4,WASP-96,4990044668377961984,-1.097559452,1,19.67,ALL_RUNS\GaiaDR34990044668377961984_friends,
5,TOI-198,2333676738050041728,19.7009964,0,16.86,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
6,WASP-44,2424406513428936832,-3.095204592,0,15.98,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
7,Gliese_12,2768048564768256512,51.04111099,0,16.90,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
8,WASP-32,2546413408888429696,18.27012634,1,16.15,ALL_RUNS\GaiaDR32546413408888429696_friends,
9,WASP-158,2424621502311961344,24.67984581,0,12.05,,UnboundLocalError("cannot access local variable 'ccc' where it is not associated with a value")
10,HD_1397,4707634458245031552,30.64109993,1,54.24,ALL_RUNS\GaiaDR34707634458245031552_friends,
0,HIP_65_A,4923860051276772608,21.18428993,0,2.30,,HTTPError('500')
1,WASP-136,2441013811932929280,11.21512794,0,2.79,,HTTPError('500')
2,KELT-1,2881784280929695360,-14.20667267,1,37.64,ALL_RUNS\GaiaDR32881784280929695360_friends,
0,HIP_65_A,4923860051276772608,21.18428993,0,4.83,,HTTPError('Error 500:\nnull')
1,WASP-136,2441013811932929280,11.21512794,1,19.21,ALL_RUNS\GaiaDR32441013811932929280_friends,
