target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
HD_114082,7859,7859,1880,4856,0.01662284961182018,0.004155141955130343,4.00054914881933,0.8000219635405227,0.7941536361048831,0.0058683274356395865,0.9926647920893708,0.9947089947089947,0.9979449239621866,0.9926647920893708,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_114082.csv
K2-151,393,393,138,144,0.0012201878970378643,0.0001232167301356609,9.902777777777779,0.9082802547770701,0.7919158135718645,0.11636444120520562,0.8718848718848718,0.9324324324324325,0.935064935064935,0.8718848718848718,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-151.csv
TOI-6041,1379,1379,296,686,0.00261721461973339,0.0005869908116184957,4.458697764820214,0.8168061242656222,0.7787609137596733,0.03804521050594889,0.9534219818195477,0.9673202614379085,0.985632183908046,0.9534219818195477,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6041.csv
TOI-5319,425,425,129,81,0.0011406104254919167,6.930941070130926e-05,16.45679012345679,0.9427157001414427,0.7787521820521728,0.1639635180892699,0.8260732073681714,0.9280575539568345,0.8901098901098901,0.8260732073681714,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-5319.csv
TOI-1648,587,587,131,261,0.001158294308057683,0.0002233303233708854,5.18646232439336,0.838356729975227,0.7501571525106118,0.08819957746461526,0.8947946926277773,0.9290780141843972,0.9630996309963099,0.8947946926277773,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-1648.csv
HD_1397,968,968,185,555,0.001635759137333369,0.0004748978140645264,3.444444444444445,0.7750000000000001,0.7222430224642615,0.0527569775357386,0.9319264805990469,0.9487179487179487,0.9823008849557522,0.9319264805990469,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_1397.csv
TOI-6109,9846,9846,888,3710,0.007851643859200171,0.003174542144467375,2.473315363881402,0.7120906410057427,0.7022679954799792,0.009822645525763507,0.9862059055966664,0.9888641425389755,0.9973118279569892,0.9862059055966664,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6109.csv
HD_17156,982,982,164,622,0.0014500783703928243,0.0005322278204470908,2.7245444801714904,0.7315107913669066,0.6785606067742925,0.052950184592614025,0.9276153062709152,0.9425287356321839,0.9841772151898734,0.9276153062709152,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_17156.csv
TOI-257,536,536,94,321,0.000831142480591009,0.0002746706275940774,3.025960539979232,0.7516120711890637,0.6588177619120035,0.09279430927706023,0.8765396235184755,0.9038461538461539,0.9697885196374623,0.8765396235184755,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-257.csv
TOI-6448,6214,6214,868,4478,0.00767480503354251,0.003831698038524233,2.0029775197260684,0.6669971741609241,0.6579311431939976,0.009066030966926486,0.9864076920890535,0.9886104783599089,0.9977718360071302,0.9864076920890535,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-6448.csv
